"API","LATERAL_LENGTH_BLEND","PROP_PER_FOOT","WATER_PER_FOOT","OIL_CUM_3MOS","OIL_CUM_6MOS","OIL_CUM_12MOS","GOR_30","GOR_60","GOR_90","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","formation_alias","operator_alias","OIL_CUM_3MOS_NEIGH","OIL_CUM_6MOS_NEIGH","OIL_CUM_12MOS_NEIGH","case","neighbors_count","GOR_30_NEIGH","GOR_60_NEIGH","GOR_90_NEIGH","WATER_PER_FOOT_NEIGH","PROP_PER_FOOT_NEIGH","neigh_count","my_qi","my_di","my_b","my_EUR","p10rawcurve_seg1","p10rawcurve_seg2","p10rawcurve_seg3","p10rawcurve_seg4","p50rawcurve_seg1","p50rawcurve_seg2","p50rawcurve_seg3","p50rawcurve_seg4","p90rawcurve_seg1","p90rawcurve_seg2","p90rawcurve_seg3","p90rawcurve_seg4","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","my_rawcurve_seg1","my_rawcurve_seg2","my_rawcurve_seg3","my_rawcurve_seg4"
"33025015920000",10118,239.7168,119.0585,21194,32408,54215,570.971544030981,572.719111210862,577.002925356232,"WILLISTON BASIN","NORTH DAKOTA","DUNN",47.256767332,-102.816659777,47.28395,-102.80939,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","MARATHON",16625.7,27331.4,45562.3,6,10,495.616939398406,474.815396072497,486.869848536257,151.267127,226.089067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11878,5944,3372,1814,5110,4290,3786,3335,4039,3647,3650,3350,87574,26322,21364,44662
"33061021300100",4444,64.66161,58.7184,7222,22984,39969,733.642261353104,482.19230401986,546.482680133722,"WILLISTON BASIN","NORTH DAKOTA","MOUNTRAIL",48.254023769,-102.604543713,48.22655,-102.59529,"FIFTH PRINCIPAL MERIDIAN 1815","THREE FORKS","WHITING",19941.3,37567.7,62945.7,6,10,904.050831237456,923.870488464553,910.501439266145,238.590693,288.115401,9,4971.31385161815,0.762300309297416,1.3,6679.65065929539,3614.32,2363.04666666667,1699.42666666667,4024.44,2457.53333333333,1195.03333333333,814.933333333333,1985.83333333333,1354.52666666667,538.433333333333,131.426666666667,643.46,4393,2340,5289,5395,5078,3586,3294,2970,2641,2360,2134,2065,50369,23336,18268,38100
"35017245370000",4904,599.9455,1196.72,1599,3832,9607,45386.7469879518,50259.8455598456,52622.5225225225,"ANADARKO BASIN","OKLAHOMA","CANADIAN",35.579770947,-98.205899386,35.59463,-98.20555,"INDIAN 1870","WOODFORD","DEVON",4488.42105263158,8015.63157894737,13364.9473684211,2,19,37651.1406299238,41017.8319773533,43903.3732963159,1337.90388947368,702.508089473684,19,1519.31085559043,0.98732920941788,1.3,978.56421831901,39846.8533333333,21201.28,14884.14,36795.1533333333,28153.9666666667,14514,10808.5333333333,25878.8166666667,17780,9426.98,7191.58,17044.56,1660,930,740,737,758,742,567,188,550,368,368,361,7969,3479,2580,6244
"33025018250000",9425,328.1795,289.713,28846,71140,128642,882.203811852053,789.763540824575,730.483130289574,"WILLISTON BASIN","NORTH DAKOTA","DUNN",47.745182267,-102.447080012,47.71814,-102.44645,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","EXXON",37334.9,65767.3,96337.1,5,10,870.514194407676,870.580417265437,880.460984243948,280.56524,432.19293,10,10366.4377605357,0.645471546939097,1.3,17042.852676272,6652.78,2765.63,2095,4675.24666666667,3063.4,1479.28333333333,1395.36666666667,2798.43333333333,1227.19666666667,912.64,563.61,1402.77,15981,10586,6242,8363,4821,4807,5692,1173,3640,2281,5590,5297,92306,74336,46866,130839
"33025018010000",9382,299.4651,195.8408,42392,72248,110470,698.566558508235,718.168669891775,759.162501178911,"WILLISTON BASIN","NORTH DAKOTA","DUNN",47.748101186,-102.447253166,47.77441,-102.43776,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","QEP",35980.3,65656.5,98154.3,5,10,888.877919742058,877.739904358717,877.593047155014,289.95246,435.06437,10,23082.6191427054,0.992058762781244,1.3,14084.2677083584,6721.78,2968.91333333333,2131.47666666667,4915.15333333333,3118.13333333333,1522.03333333333,1400.8,2835.23333333333,1219.41666666667,902.443333333333,596.19,1430.5,24347,15755,12913,8315,8628,10154,10784,4246,3489,3432,6117,4147,125532,64762,46301,111334
"35017243500000",4283,823.1703,1596.681,1098,2583,4807,87477.5160599572,106723.648648649,119407.467532468,"ANADARKO BASIN","OKLAHOMA","CANADIAN",35.595467339,-98.229221914,35.609,-98.23116,"INDIAN 1870","WOODFORD","DEVON",4608.39130434783,8235.10869565217,13288.7608695652,3,46,62761.3479431635,66478.6618452397,71289.9144338549,1361.82888347826,696.423145652174,46,877.396996148834,0.995732100554829,1.3,478.808562468518,49838.4666666667,24194.95,17458.0933333333,40945.37,34706.4,17212.6666666667,12924.5666666667,29643.9,21742.7166666667,11237.3,8488.56,19463.4133333333,934,546,368,372,359,336,183,361,184,177,183,175,4359,1983,907,3249
"33025017530000",6811,378.3942,350.6099,23445,32495,50631,523.90871218982,685.046066619418,770.952994959559,"WILLISTON BASIN","NORTH DAKOTA","DUNN",47.749460172,-102.498483632,47.76025,-102.47218,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","QEP",56753.4,99280.6,146791.4,6,10,741.765514297865,738.925787080422,742.892138606655,276.4613,391.07952,10,7661.89759057604,0.949062278722489,1.3,6449.73620900296,6302.45333333333,3290.82666666667,3577.55666666667,7053.38,4203.23333333333,2527.53333333333,1901.9,4526.63333333333,2138.27333333333,1534.18666666667,1144.84333333333,2748.59333333333,11042,3068,2952,3030,2769,2826,3276,2573,2996,3696,3259,3185,50027,26812,19928,45232
"33023008790000",9578,103.5789,71.20329,28550,46692,67334,743.190981650621,791.202646661385,852.073684577079,"WILLISTON BASIN","NORTH DAKOTA","DIVIDE",48.980724153,-103.592349963,48.95307,-103.58836,"FIFTH PRINCIPAL MERIDIAN 1815","THREE FORKS","RESOURCE ENERGY CAN-AM LLC",21636,38495,57739.3333333333,3,12,816.698920800587,836.813850454427,846.777141449028,133.117799166667,180.9848625,12,12761.5102725825,0.998313484704879,1.3,6440.62486367835,3645.34,1175.85333333333,939.843333333333,2011.84333333333,2262.01666666667,834.933333333333,600.483333333333,1354.05,1293.08,480.676666666667,316.083333333333,744.98,12153,9308,7256,6086,4800,4390,4090,3649,3105,2933,2475,2606,73497,15900,13897,30636
"33053049530000",9718,339.3167,296.5551,30829,80793,136440,1177.95244837182,1227.32184496389,1084.68097029861,"WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.759693963,-102.88250963,47.73251,-102.88443,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","QEP",43090.4545454545,84011,164894.181818182,6,11,1360.58466191113,1381.52291028115,1366.59528707539,352.243481818182,477.884727272727,9,20105.7108470708,0.94758778448464,1.3,17057.1003033815,12439.2466666667,8365.8,6613.15666666667,15338.91,7664.36666666667,4263.46666666667,4113.16666666667,8633.06666666667,4788.47333333333,1296.68,2087.9,3578.89333333333,20483,14683,14798,9652,14246,12343,6824,7807,4775,11065,7122,6289,141494,49404,58692,111479
"33061018980100",9269,383.5892,304.2025,51326,82656,112873,832.85426846795,769.971553096536,679.94778474847,"WILLISTON BASIN","NORTH DAKOTA","MOUNTRAIL",48.224894532,-102.497483988,48.19749,-102.49709,"FIFTH PRINCIPAL MERIDIAN 1815","BAKKEN","EQUINOR",38340.3,58312.4,102911.2,3,10,832.640682981739,780.185436659724,766.447423708358,337.08605,342.54908,10,21901.5101245488,0.99232523230541,1.3,13299.5322229455,6273.80666666667,3007.44,1705.84,4449.96666666667,3851.86666666667,1800.83333333333,1084.08333333333,2727.61666666667,1650.64333333333,610.266666666667,533.823333333333,1094.97,20874,17443,13009,12426,12633,6271,1844,5472,7286,6079,5645,3891,135687,54140,33681,80653
