CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
CONOCO INCORPORATED,3954,7294,7294,CONOCO,CONOCOPHILLIPS,COP,PUBLIC,NO,
CHAPARRAL ENERGY LIMITED LIABILITY CORP,3805,212535,212535,CHAPARRAL,CHAPARRAL,CHPE,PUBLIC,NO,
BREITBURN OPERATING LIMITED PARTNERSHIP,3781,222820,222820,BREITBURN,BREITBURN,,PRIVATE,NO,
MOBIL OIL CORPORATION,3678,23035,23035,MOBIL,EXXON,XOM,PUBLIC,NO,
FIDELITY EXPLORATION & PRODUCTION CO,3652,208936,208936,FIDELITY,FIDELITY,MDU,PUBLIC,NO,Sold off the multiple buyers.
LINN OPERATING LIMITED LIABILITY CORP,3523,214609,214609,LINN,LINN,LNGG,PUBLIC,NO,
CARTER OIL COMPANY,3491,5783,5783,CARTER,EXXON,XOM,PUBLIC,YES,
FOUNDATION ENERGY MANAGEMENT LLC,3479,219460,219460,FOUNDATION,FOUNDATION,,PRIVATE,NO,
ULTRA RESOURCES INCORPORATED,3458,174086,174086,ULTRA,ULTRA,UPL,PUBLIC,NO,
CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,3266,220987,220987,CHEVRON,CHEVRON,CVX,PUBLIC,NO,
CHESAPEAKE OPERATING LLC,3184,258965,258965,CHESAPEAKE,CHESAPEAKE,CHK,PUBLIC,NO,
TXO PRODUCTION CORPORATION,3114,34425,34425,TXO,MARATHON,MRO,PUBLIC,YES,
TEXAS PETROLEUM INVESTMENT COMPANY,3097,131015,131015,TPIC,TPIC,,PRIVATE,NO,
CIMAREX ENERGY CO OF COLORADO,3089,221190,221190,CIMAREX,CIMAREX,XEC,PUBLIC,NO,
KAISER-FRANCIS OIL COMPANY,3028,62129,62129,KAISER-FRANCIS,KAISER-FRANCIS,,PRIVATE,NO,Owned by GBK Corporation
SKELLY OIL COMPANY,3018,30896,30896,SKELLY,CHEVRON,CVX,PUBLIC,YES,
HUNT OIL COMPANY,2941,16056,16056,HUNT,HUNT,,PRIVATE,NO,
LEWIS PETROLEUM PROPERTIES INCORPORATED,2918,19905,19905,LEWIS,LEWIS,,PRIVATE,NO,
EP ENERGY E&P COMPANY LP,2916,241031,241031,EP ENERGY,EP ENERGY,EPE,PUBLIC,NO,
SABINAL ENERGY OPERATING LLC,2841,276171,276171,SABINAL,SABINAL,,PRIVATE,NO,
GYPSY OIL COMPANY,2814,13782,13782,GYPSY,CHEVRON,CVX,PUBLIC,YES,
SM ENERGY COMPANY,2784,231769,231769,SM,SM,SM,PUBLIC,NO,
PRAIRIE OIL & GAS COMPANY,2746,85549,85549,PRAIRIE,PRELUDE,PLUD,PRIVAE,YES,
DAVIS OIL COMPANY,2729,72482,72482,DAVIS,YUMA,YUMA,PUBLIC,YES,
HESS BAKKEN INVESTMENTS II LLC,2694,254790,254790,HESS,HESS,HES,PUBLIC,NO,
SOUTHWEST ROYALTIES INCORPORATED,2673,31454,31454,SOUTHWEST,NOBLE,NBL,PUBLIC,YES,
JONAH ENERGY LLC,2672,257809,257809,JONAH,JONAH,,PRIVATE,NO,
ORYX ENERGY COMPANY,2668,25032,25032,ORYX,ANADARKO,APC,PUBLIC,YES,
STORM CAT ENERGY USA OPERATING CORP,2652,218133,218133,STORM CAT,STORM CAT,,PRIVATE,NO,
CIMAREX ENERGY COMPANY,2641,212248,212248,CIMAREX,CIMAREX,XEC,PUBLIC,NO,
SOUTHLAND ROYALTY COMPANY LLC,2612,266130,266130,SOUTHLAND,MORNINGSTAR,,PRIVATE,,
EXXONMOBIL CORPORATION,2581,194922,194922,EXXONMOBIL,EXXONMOBIL,XOM,PUBLIC,NO,
CRESTONE PEAK RESOURCES OPERATING LLC,2580,271227,271227,CRESTONE PEAK,CRESTONE PEAK,,PRIVATE,NO,Formed to acquire DJ Basin assets from Encana
LIME ROCK RESOURCES II A LP,2573,232140,232140,LIME ROCK,LIME ROCK,,PRIVATE,NO,
URBAN OIL & GAS GROUP LLC,2567,230282,230282,URBAN,URBAN,,PRIVATE,NO,
