CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
SELL OIL COMPANY,13,30254,30254,,,,,,
CONE J R,13,16804,16804,,,,,,
WEST O N,13,198300,198300,,,,,,
PINNACLE EXPLORATION & PRODUCTION CO,13,254902,254902,,,,,,
BRANSCUM H L,13,171877,171877,,,,,,
BINGMAN J BRIAN,13,61969,61969,,,,,,
JOHNSON & SPURGEON,13,457459,457459,,,,,,
ALTA VISTA EXPLORATION INCORPORATED,13,897,897,,,,,,
CAMPBELL CURRAN R INCORPORATED,13,5522,5522,,,,,,
GEODE PETROLEUM INCORPORATED,13,81708,81708,,,,,,
VAST OPERATIONS LLC,13,270902,270902,,,,,,
BAXTER L W,13,100444,100444,,,,,,
MCCARTNEY C H,13,75719,75719,,,,,,
MORSE JAMES F & COMPANY,13,23430,23430,,,,,,
HARRIS & HAYS COMPANY,13,163419,163419,,,,,,
TRANS-TEXAS DRILLING COMPANY INC,13,92971,92971,,,,,,
TEXAS REEXPLORATION OPERATING,13,221605,221605,,,,,,
MARLAND PRODUCTION,13,143032,143032,,,,,,
MCGILLIS T H,13,47673,47673,,,,,,
CHOLLA RESOURCES INCORPORATED,13,38119,38119,,,,,,
HUSKEY DALLAS,13,142307,142307,,,,,,
HUTCHINSON,13,127654,127654,,,,,,
WILLIAMSON & KISSINGER,13,100428,100428,,,,,,
JOHNSTON J F,13,164589,164589,,,,,,
FREEDOM ENERGY LIMITED,13,213986,213986,,,,,,
UMBERHAM OIL COMPANY INCORPORATED,13,34509,34509,,,,,,
CALIFORNIA EXPLORATION,13,140718,140718,,,,,,
HILL PRODUCTION COMPANY - WISCONSIN,13,124773,124773,,,,,,
HILL ROLLIN V JR,13,142176,142176,,,,,,
SHEETS BROTHERS,13,144687,144687,,,,,,
ALLEN OIL & GAS LLC,13,152699,152699,,,,,,
STETSON OIL,13,31901,31901,,,,,,
BENND OIL COMPANY,13,43000,43000,,,,,,
GAR TER DRILLING COMPANY,13,81677,81677,,,,,,
PLANO PETROLEUM CORPORATION,13,26608,26608,,,,,,
NORTH STAR PETROLEUM COMPANY,13,92288,92288,,,,,,
TIPPETT JOE W MD,13,33695,33695,,,,,,
MARTIN CHARLES J,13,21458,21458,,,,,,
UNION TEXAS CANADA LIMITED,13,97971,97971,,,,,,
BARTLETT W N,13,42843,42843,,,,,,
PRIMEWEST PETROLEUM INC,13,222200,222200,,,,,,
MORRIS TROY L,13,104068,104068,,,,,,
CASH OIL COMPANY,13,80424,80424,,,,,,
ANSCHUTZ PINEDALE CORPORATION,13,214382,214382,,,,,,
CAMERON REFINING COMPANY,13,159143,159143,,,,,,
G A S PRODUCTION COMPANY,13,57074,57074,,,,,,
SMITH GARRETT M,13,86936,86936,,,,,,
VANNOY & ASSOC INCORPORATED,13,34783,34783,,,,,,
MILLSAP OIL & GAS,13,22850,22850,,,,,,
RETAMA OIL CORPORATION,13,28198,28198,,,,,,
ARCO OIL,13,174919,174919,,,,,,
J K MINERALS INCORPORATED,13,211176,211176,,,,,,
TRIASIS OPERATING INCORPORATED,13,211221,211221,,,,,,
LEONARD GEO,13,180081,180081,,,,,,
SILVER PETROLEUM CORPORATION,13,50329,50329,,,,,,
OKLAHOMA STAR OIL,13,197347,197347,,,,,,
POWELL DRLG,13,703208,703208,,,,,,
SAFETY FIRST,13,49923,49923,,,,,,
ENSTOR GRAMA RIDGE STORAGE & TRANSPORT,13,229870,229870,,,,,,
GEOMARK RESOURCES L L C,13,151732,151732,,,,,,
DURANGO EXPLORATION LLC,13,218272,218272,,,,,,
COFFEYVILLE GAS COMPANY,13,6993,6993,,,,,,
PRUDHOE PROD,13,701450,701450,,,,,,
ELLIOTT W C,13,141415,141415,,,,,,
CARTER J G,13,140794,140794,,,,,,
DAVIS & FORBES,13,8598,8598,,,,,,
SIRGO OPERATING INCORPORATED,13,30862,30862,,,,,,
VONDRA ENERGY CORPORATION,13,131692,131692,,,,,,
ADA EXPLORATION,13,425,425,,,,,,
HOWARD W P,13,82489,82489,,,,,,
BAILEY A A,13,42708,42708,,,,,,
MAYFIELD T,13,183187,183187,,,,,,
PLAINSMEN ENERGY LLC,13,271970,271970,,,,,,
DAVIS J R OIL COMPANY,13,8685,8685,,,,,,
BOARD M,13,200806,200806,,,,,,
FRIEDEN A C & BEN,13,162182,162182,,,,,,
SIMMONS C B,13,100331,100331,,,,,,
BERRY R GARVIN,13,2990,2990,,,,,,
ACME SUPPLY,13,42421,42421,,,,,,
ORLEE OIL COMPANY,13,84904,84904,,,,,,
FARGASON ENERGY INCORPORATED,13,11185,11185,,,,,,
WILDHORSE OIL & GAS CORPORATION,13,36320,36320,,,,,,
MILLER M D,13,100344,100344,,,,,,
RAMSEY PROPERTY MGMT INCORPORATED,13,92460,92460,,,,,,
OIL CITY PETROLEUM INCORPORATED,13,24705,24705,,,,,,
SEVENTY-ONE INCORPORATED,13,50171,50171,,,,,,
PETROLEUM PROPERTIES MANAGEMENT,13,127150,127150,,,,,,
HEGCO CANADA INCORPORATED,13,135517,135517,,,,,,
HAGAN & STEWART,13,141965,141965,,,,,,
TEXAS UNITED PETROLEUM INCORPORATED,13,120846,120846,,,,,,
DILLARD W R,13,100682,100682,,,,,,
PRALLE JOHN C,13,26870,26870,,,,,,
P B&B OPERATING INCORPORATED,13,137643,137643,,,,,,
KLEIN H W,13,82931,82931,,,,,,
TEX-MEX CORPORATION,13,51053,51053,,,,,,
POTEET OIL COMPANY LIMITED,13,26773,26773,,,,,,
PLENERGY DEVELOPMENT LIMITED,13,49150,49150,,,,,,
SEWELL BROTHERS & COMPANY,13,202049,202049,,,,,,
SUNSHINE MINING COMPANY,13,79157,79157,,,,,,
BOB HUGHES OIL COMPANY LLC,13,235588,235588,,,,,,
SCANLON & SHEPARD,13,29923,29923,,,,,,
BC & D OPERATING INCORPORATED,13,128978,128978,,,,,,
WIMBERLY JAMES A,13,36608,36608,,,,,,
TUCKER DRILLING & BEER O N,13,216809,216809,,,,,,
CEI PETROLEUM INCORPORATED,13,152790,152790,,,,,,
CIMARRON-WESTERN DRILLING,13,140880,140880,,,,,,
M & R EXPLORATION COMPANY,13,20697,20697,,,,,,
GUARANTEED OIL LEASE DEVELOPMENT INC,13,13633,13633,,,,,,
HOLT ROBERT A,13,46031,46031,,,,,,
MCGAUGH THURMAN E JR,13,22058,22058,,,,,,
DUNNE EQUITIES OPERATING INCORPORATED,13,135637,135637,,,,,,
SIMON PAT,13,211642,211642,,,,,,
NORTH AMERICAN OIL COMPANY,13,214138,214138,,,,,,
HATTIE OIL,13,409117,409117,,,,,,
JOLLY OGG CORPORATION,13,164602,164602,,,,,,
WILLIAMS PETROLEUM COMPANY,13,88811,88811,,,,,,
SERVICE DRILLING COMPANY LLC,13,129752,129752,,,,,,
SANDIA OPERATING CORPORATION,13,29771,29771,,,,,,
MONARCH PETROLEUM CORPORATION,13,48007,48007,,,,,,
HUFF STEPHEN G,13,46135,46135,,,,,,
STATOIL PIPELINES LLC,13,254127,254127,,,,,,
HARNETT R A,13,74753,74753,,,,,,
N B N EXPLORATION INCORPORATED,13,23743,23743,,,,,,
ROWLAND & SHERTZER,13,29158,29158,,,,,,
ANDERSON BRUCE,13,4512,4512,,,,,,
BROWN ALAN L,13,133766,133766,,,,,,
DORALEX ENERGY INCORPORATED,13,9487,9487,,,,,,
MEG ENERGY INCORPORATED,13,84037,84037,,,,,,
BONHAM J C,13,140514,140514,,,,,,
AVALON ENERGY CORPORATION,13,97366,97366,,,,,,
BEMENT OIL COMPANY,13,42990,42990,,,,,,
KARPER OIL & GAS CORPORATION,13,213070,213070,,,,,,
FISH OIL WELL SERVICING COMPANY,13,11429,11429,,,,,,
D & J TANK TRUCKS INC,13,270797,270797,,,,,,
NORMAN & GRAHAM DRILLING COMPANY,13,170973,170973,,,,,,
CUMA OIL COMPANY INCORPORATED,13,7970,7970,,,,,,
BUELL J G,13,43428,43428,,,,,,
COASTAL WELL SERVICE INCORPORATED,13,100038,100038,,,,,,
DKD LIMITED LIABILITY CORPORATION,13,211758,211758,,,,,,
DICKSON PETROLEUM INCORPORATED,13,9205,9205,,,,,,
HYCO OIL INCORPORATED,13,16166,16166,,,,,,
GRAVES DRILLING COMPANY INCORPORATED,13,13314,13314,,,,,,
YOUNG TOMMY,13,37166,37166,,,,,,
HEATH JACK A,13,45832,45832,,,,,,
COKER O R,13,173515,173515,,,,,,
WINSLOW & HAYS,13,101278,101278,,,,,,
POLAR PROD & GASOLINE,13,197820,197820,,,,,,
BRACK BEN F,13,3916,3916,,,,,,
MGM OIL & GAS INCORPORATED,13,84115,84115,,,,,,
WEST ETAL,13,198294,198294,,,,,,
MAGNOLIA PETROLEUM & STANOLIND OIL,13,212332,212332,,,,,,
TOBOSA OIL & GAS COMPANY,13,87925,87925,,,,,,
KERRY OIL & GAS INCORPORATED,13,18457,18457,,,,,,
SOUTH OIL CORPORATION THE,13,171183,171183,,,,,,
HITCHCOCK E C & SON,13,56047,56047,,,,,,
CHEROSAGE ENTERPRISES,13,80493,80493,,,,,,
LINK HAROLD,13,83320,83320,,,,,,
FREEPORT MINERALS COMPANY,13,57111,57111,,,,,,
CLEAR CREEK STORAGE COMPANY LLC,13,209861,209861,,,,,,
SEADRIFT PIPELINE CORPORATION,13,30150,30150,,,,,,
DAVIS FRED A,13,141158,141158,,,,,,
BROWN ELLIS L,13,4395,4395,,,,,,
SPANEL A N,13,122645,122645,,,,,,
RESOURCE ENT,13,75191,75191,,,,,,
MANN T E,13,165741,165741,,,,,,
BHB OIL PARTNERS LIMITED LIABILITY CORP,13,225935,225935,,,,,,
JOSEPHSON JOE,13,46537,46537,,,,,,
EVANS BROTHERS,13,10908,10908,,,,,,
CORMIER PAUL PROD,13,7482,7482,,,,,,
OCONNOR & HEWITT LIMITED,13,129698,129698,,,,,,
BAPARK OIL COMPANY,13,42767,42767,,,,,,
BARD COMPANY,13,99601,99601,,,,,,
HADSON PETROLEUM CORPORATION,13,14070,14070,,,,,,
COKINOS G P,13,60333,60333,,,,,,
MARGAY O&G,13,465370,465370,,,,,,
BOSWELL & FRATES,13,43225,43225,,,,,,
PETRO SEARCH ENERGY CORPORATION,13,91291,91291,,,,,,
PENFORD INCORPORATED,13,25878,25878,,,,,,
MERITAGE ENERGY PARTNERS LLC,13,212301,212301,,,,,,
GROSS CHARLES E,13,13579,13579,,,,,,
KOMAREK A W,13,82971,82971,,,,,,
LYSITE VENTURES,13,100311,100311,,,,,,
RIGGS JOHN,13,129949,129949,,,,,,
BARBRE R E,13,100508,100508,,,,,,
KRIKEN OIL & GAS,13,129577,129577,,,,,,
LZS CORPORATION,13,20653,20653,,,,,,
WEBER E H,13,198247,198247,,,,,,
PACIFIC COAST MINES,13,119730,119730,,,,,,
MARATA OIL & GAS COMPANY,13,99275,99275,,,,,,
GILLESPIE,13,45293,45293,,,,,,
FILES F W,13,44950,44950,,,,,,
RICHARDS JACK,13,28342,28342,,,,,,
MARINE OIL COMPANY,13,134825,134825,,,,,,
SPECTRUM 7 EXPLORATION COMPANY,13,31520,31520,,,,,,
NEAL LESLIE R,13,23917,23917,,,,,,
EDDINGS STEVE L,13,129297,129297,,,,,,
CRAMER D H,13,160317,160317,,,,,,
ONEOK HYDROCARBON SOUTHWEST LLC,13,222277,222277,,,,,,
POLARIS ENERGY CORPORATION,13,26673,26673,,,,,,
FIRST ENERGY CORPORATION,13,11399,11399,,,,,,
ANDERSON DRILLING COMPANY,13,58413,58413,,,,,,
HARRELL & SOUTHWORTH,13,82160,82160,,,,,,
LOCAL OIL,13,100186,100186,,,,,,
MALLETTE EARL,13,100314,100314,,,,,,
WALLACE T F COMPANY,13,35414,35414,,,,,,
THREE FORKS OPERATING COMPANY LLC,13,224880,224880,,,,,,
KLASSEN ENERGY INCORPORATED,13,137618,137618,,,,,,
BISSELL OIL OPERATING COMPANY INC,13,134714,134714,,,,,,
D & T SWABBING & WELL SERV INCORPORATED,13,98725,98725,,,,,,
CASE-POMEROY OIL,13,119856,119856,,,,,,
CONTOUR ENERGY EXPLORATION & PROD INC,13,210065,210065,,,,,,
KIRKLIN DRILLING COMPANY,13,82924,82924,,,,,,
HUB-HILL INCORPORATED,13,15859,15859,,,,,,
KKA CORPORATION,13,18753,18753,,,,,,
PIERCE PETROLEUM COMPANY,13,26468,26468,,,,,,
BAY REFINING,13,100104,100104,,,,,,
LU RAY PET,13,110941,110941,,,,,,
COLTEX PETROLEUM INCORPORATED,13,128791,128791,,,,,,
STEVENS QUINCY,13,50724,50724,,,,,,
RANDADO DEVELOPMENT CORPORATION,13,85761,85761,,,,,,
TX UNITED OPERATING LLC,13,272664,272664,,,,,,
SECURE OPERATIONS GROUP LLC,13,245782,245782,,,,,,
CROW CREEK OPERATING COMPANY III LLC,13,237537,237537,,,,,,
SAGI PETROLEUM CORPORATION,13,29597,29597,,,,,,
KIESLING GEORGE,13,74868,74868,,,,,,
SHO-BAR ENERGY INCORPORATED,13,30632,30632,,,,,,
SHAKLEY ALEXANDER,13,144667,144667,,,,,,
ST JOE AMERICAN EXPLORATION,13,144927,144927,,,,,,
SPUR OIL INCORPORATED,13,31628,31628,,,,,,
CHAMBERS PETROLEUM INCORPORATED,13,155061,155061,,,,,,
NONSUCH NATURAL GAS INCORPORATED,13,220873,220873,,,,,,
BROWN PRODUCING COMPANY,13,59424,59424,,,,,,
RICE SCOTT,13,199834,199834,,,,,,
SANDS INDUSTRIES,13,200901,200901,,,,,,
JOHNSON & PRICE,13,17579,17579,,,,,,
STAATS W N,13,174015,174015,,,,,,
POGO PANHANDLE 2004 LP,13,217887,217887,,,,,,
GRIFFON PETROLEUM INCORPORATED,13,151787,151787,,,,,,
RUGER PROPERTIES LLC,13,258210,258210,,,,,,
MILESTONE ENVIRONMENTAL SERVICES LLC,13,267451,267451,,,,,,
WILLIAMS PRODUCTION RYAN GULCH LLC,13,228248,228248,,,,,,
WASATCH OIL REFINING COMPANY,13,214142,214142,,,,,,
STANDISH OIL,13,174018,174018,,,,,,
RICHCU OIL,13,144264,144264,,,,,,
EDWARDS J W,13,146052,146052,,,,,,
MARKLEY E G,13,74948,74948,,,,,,
TIGER MOUNTAIN GAS & OIL,13,155949,155949,,,,,,
MIRAMAR CORPORATION,13,143309,143309,,,,,,
WYLIE JERRY E OIL DRILLING COMPANY,13,37047,37047,,,,,,
PATRICK-SCP EXPLORATION LLC,13,212424,212424,,,,,,
JOHNSON B E,13,164532,164532,,,,,,
HALKO JOHN M,13,45593,45593,,,,,,
RESCO ENTERPRISE,13,28166,28166,,,,,,
VISTA TEX ENERGY LLC,13,271158,271158,,,,,,
PORTAL DRILLING COMPANY,13,26742,26742,,,,,,
SMITH CONNIE M & SHERYLE,13,209676,209676,,,,,,
ENDEAVOR PRODUCTION COMPANY,13,135581,135581,,,,,,
SIMON OIL COMPANY,13,50352,50352,,,,,,
BEISCH RUSTY,13,2784,2784,,,,,,
FARGO EXPLORATION COMPANY,13,11188,11188,,,,,,
CARROLL C M,13,5210,5210,,,,,,
SHARP OIL INCORPORATED,13,144678,144678,,,,,,
FRENCH PRODUCTION INCORPORATED,13,79426,79426,,,,,,
TEXAS INTERNATIONAL RESOURCES LLC,13,231736,231736,,,,,,
FOSTER L E,13,11729,11729,,,,,,
MESA ENERGY PARTNERS LLC,13,231824,231824,,,,,,
MORRIS & ASSOCIATES,13,48105,48105,,,,,,
HAWLEY HYDROCARBONS,13,75644,75644,,,,,,
ARKANSAS WESTERN PRODUCTION COMPANY,13,154893,154893,,,,,,
JERNIGAN STEVE INCORPORATED,13,17294,17294,,,,,,
RAND OIL & GAS INCORPORATED,13,127894,127894,,,,,,
THOMAS-POWELL ROYALTY INCORPORATED,13,87825,87825,,,,,,
ENERGY ENTERPRISES INCORPORATED,13,10575,10575,,,,,,
PACIFIC RESOURCES INC,13,48768,48768,,,,,,
DAYTON PRODUCTION COMPANY INCORPORATED,13,80946,80946,,,,,,
MESCALERO ENERGY INCORPORATED,13,124962,124962,,,,,,
CENTURY EXPLORATION HOUSTON INC,13,220806,220806,,,,,,
R D T PROPERTIES,13,27523,27523,,,,,,
P-C RESOURCES INCORPORATED,13,25226,25226,,,,,,
THOMPSON BROTHERS,13,87832,87832,,,,,,
R J ENERGY CORPORATION,13,27530,27530,,,,,,
WALLACE ETAL,13,420230,420230,,,,,,
Q L D ENTERPRISES,13,116555,116555,,,,,,
YHS GROUP,13,145945,145945,,,,,,
POCO LLC,13,237509,237509,,,,,,
SAUDER INTERNATIONAL INCORPORATED,13,29868,29868,,,,,,
ROWLAND REX D,13,29161,29161,,,,,,
THOMPSON STANLEY A,13,87850,87850,,,,,,
S/H PETROLEUM CORPORATION,13,49913,49913,,,,,,
CUMMINGS C C,13,44142,44142,,,,,,
LAGO-KECK-CROWN-ACORN,13,83065,83065,,,,,,
MCCOOL JOHN E,13,121273,121273,,,,,,
GEARHART F A,13,45232,45232,,,,,,
TRIPLE LEASE OIL & GAS COMPANY,13,145360,145360,,,,,,
PHILLIPS B F JR,13,92442,92442,,,,,,
SUPERIOR OIL & GAS COMPANY OF OKLAHOMA,13,222123,222123,,,,,,
AMERSON JAMES E,13,61873,61873,,,,,,
SPRI OIL & GAS LLC,13,267944,267944,,,,,,
COWAN OIL COMPANY,13,73248,73248,,,,,,
WRIGHTS DRILLING,13,145905,145905,,,,,,
ROYAL DRILLING & PRODUCTION,13,149710,149710,,,,,,
FAMILY TREE CORPORATION,13,134522,134522,,,,,,
GREAT YELLOWSTONE CORPORATION,13,13401,13401,,,,,,
CARBONIT EXPLORATION INCORPORATED,13,59813,59813,,,,,,
WILBANKS & RASMUSSEN,13,36280,36280,,,,,,
ASPEN OIL INCORPORATED,13,211418,211418,,,,,,
BENTON ROSS R,13,86232,86232,,,,,,
MISENER,13,469426,469426,,,,,,
NOWATA GAS COMPANY,13,24409,24409,,,,,,
READING & BATES OIL & GAS COMPANY,13,75183,75183,,,,,,
BASHARA,13,173421,173421,,,,,,
J PETROLEUM INCORPORATED,13,16641,16641,,,,,,
ALLEN R R,13,47289,47289,,,,,,
SONAT RATON LIMITED LIABILITY CORP,13,179004,179004,,,,,,
CARDINAL PETROLEUM & NATIONAL BULK,13,216801,216801,,,,,,
SABER RESOURCES LIMITED LIABILITY CORP,13,219458,219458,,,,,,
GRIFFITH H J,13,13527,13527,,,,,,
UNITED STATES SMELTING REFINING,13,88164,88164,,,,,,
RANGE OPERATING NEW MEXICO INCORPORATED,13,218243,218243,,,,,,
DOUBLE R DRILLING,13,44540,44540,,,,,,
CROWN PRODUCTION COMPANY INCORPORATED,13,7885,7885,,,,,,
AMSITO PRODUCTION,13,183375,183375,,,,,,
NINEVEH CORPORATION,13,24180,24180,,,,,,
EMJO OPERATIONS INCORPORATED,13,130965,130965,,,,,,
CLEVEROCK ENERGY CORPORATION,13,6802,6802,,,,,,
HOWARTH FLOYD OIL & GAS,13,164052,164052,,,,,,
GILLUM CECIL C,13,12876,12876,,,,,,
PETROLEUM SERVICE COMPANY,13,26245,26245,,,,,,
ALLEN J D DRILLING COMPANY,13,813,813,,,,,,
SMILEY DRILLING COMPANY,13,31004,31004,,,,,,
SPANISH CAMP GAS COMPANY,13,87114,87114,,,,,,
CANYON OIL,13,124634,124634,,,,,,
P B PRODUCTION INCORPORATED,13,25250,25250,,,,,,
ASCENT OPERATING LIMITED PARTNERSHIP,13,216927,216927,,,,,,
SILVERTIP OIL,13,76936,76936,,,,,,
WILSON D J,13,170507,170507,,,,,,
STAR ENTERPRISE,13,121937,121937,,,,,,
OGX OPERATING LLC,13,237578,237578,,,,,,
STAPLES JAMES W,13,92874,92874,,,,,,
DEEMS H C,13,44326,44326,,,,,,
FREESTONE RESOURCES,13,113584,113584,,,,,,
SENTER OIL COMPANY,13,202035,202035,,,,,,
QUISTO EXPLORATION & PRODUCTION L C,13,131394,131394,,,,,,
MORA PRODUCING COMPANY,13,84337,84337,,,,,,
SUMMIT ENERGY OPERATING COMPANY,13,224979,224979,,,,,,
BONANZA OIL CORPORATION,13,3701,3701,,,,,,
MEADOWS E O,13,166169,166169,,,,,,
HOLIDAY RESOURCES INCORPORATED,13,15476,15476,,,,,,
HUMBLE GYPSY STAITI,13,100466,100466,,,,,,
ENERSOURCE ROYALTY CORPORATION,13,44799,44799,,,,,,
CLARK DEAN,13,6686,6686,,,,,,
TEXAS CONSERVATIVE OIL,13,145182,145182,,,,,,
VEITCH WILLIAM A,13,204279,204279,,,,,,
ALVARADO 2014 LLC,13,270743,270743,,,,,,
LOMA VISTA FARMS,13,129669,129669,,,,,,
HARRAL OPERATING,13,119081,119081,,,,,,
BOUSE & SHOWALTER OIL COMPANY,13,172709,172709,,,,,,
DIERKS FRED H,13,44420,44420,,,,,,
LONGSHOT OIL LLC,13,228328,228328,,,,,,
LATIGO PIPE & EQUIPMENT INCORPORATED,13,135054,135054,,,,,,
BEVLY OIL,13,158051,158051,,,,,,
WHITTEN A D,13,170360,170360,,,,,,
BRADLEY C D,13,158426,158426,,,,,,
ROSS DWIGHT M DRILLING COMPANY INC,13,29100,29100,,,,,,
TAYLOR TOM,13,102488,102488,,,,,,
POWERS ENERGY INCORPORATED,13,49218,49218,,,,,,
COOK WILLIAM GLENN,13,7371,7371,,,,,,
REPUBLIC OIL,13,66234,66234,,,,,,
BRANSCUM PETROLEUM INCORPORATED,13,4048,4048,,,,,,
THUNDERBIRD RESOURCES,13,145245,145245,,,,,,
PERRIN SHERMAN R,13,48986,48986,,,,,,
KEPASA CORPORATION,13,142601,142601,,,,,,
CIMROD LLC,13,236799,236799,,,,,,
TEMPLETON OIL INCORPORATED,13,32946,32946,,,,,,
CARNES PETROLEUM CORPORATION,13,43629,43629,,,,,,
HANSON ENERGY,13,14315,14315,,,,,,
ZEXCO LIMITED,13,74062,74062,,,,,,
BENSON-MONTIN INCORPORATED,13,80009,80009,,,,,,
HAMILL COMPANY THE,13,99669,99669,,,,,,
TALL CITY BRINE LLC,13,268134,268134,,,,,,
GRAY BAR RESOURCES INCORPORATED,13,135521,135521,,,,,,
MCCASLAND DALLAS,13,8384,8384,,,,,,
MELCO DRILLING COMPANY,13,22365,22365,,,,,,
MHM PIPELINE CO INC,13,234884,234884,,,,,,
HOLLOWAY OIL COMPANY,13,15522,15522,,,,,,
JUMAS OIL PART CORPORATION,13,55297,55297,,,,,,
EXCHANGE DRILLING COMPANY,13,161669,161669,,,,,,
BUTCHER S D & DELTA PETROLEUM,13,172212,172212,,,,,,
D & G EXPLORATION COMPANY,13,61884,61884,,,,,,
ENERGY DEVELOPMENT CORPORATION N J,13,94442,94442,,,,,,
SOUTH HOUSTON PRODUCTION COMPANY,13,266429,266429,,,,,,
O K & T OIL & GAS COMPANY,13,24473,24473,,,,,,
SYKES LOUIS,13,202696,202696,,,,,,
ROCKY MOUNTAIN OPERATING COMPANY INC,13,129988,129988,,,,,,
WOLVERINE,13,709373,709373,,,,,,
GASAWAY J T,13,12473,12473,,,,,,
BUSBY J L,13,43470,43470,,,,,,
EEI OPERATING INCORPORATED,13,223456,223456,,,,,,
RUTH FUEL,13,78819,78819,,,,,,
WEST TEXAS-T INCORPORATED,13,209198,209198,,,,,,
PLACER DOME U S INCORPORATED,13,85439,85439,,,,,,
RELM ENERGY INCORPORATED,13,49551,49551,,,,,,
BAYNES LEE L,13,79971,79971,,,,,,
THUNDERBIRD OIL COMPANY INCORPORATED,13,33591,33591,,,,,,
GREMLIN OIL COMPANY,13,73373,73373,,,,,,
BUSBY JULIAN M,13,43471,43471,,,,,,
PROVIDENCE OIL & GAS CORPORATION,13,27077,27077,,,,,,
AKG OPERATING COMPANY,13,140039,140039,,,,,,
COVENANT OIL COMPANY,13,7594,7594,,,,,,
WILSON H C,13,198760,198760,,,,,,
BREENE-MARKHAM,13,140566,140566,,,,,,
SIMPLEX OIL COMPANY,13,50360,50360,,,,,,
CABOT CARBON COMPANY,13,5280,5280,,,,,,
POGO PRODUCING COMPANY LLC,13,227280,227280,,,,,,
PEARL OIL COMPANY,13,125979,125979,,,,,,
NATIONAL SUPPLY,13,119346,119346,,,,,,
ROLFE B N & ASSOCIATES,13,168031,168031,,,,,,
MILLENNIUM RESOURCES LLC,13,134363,134363,,,,,,
SUNOCO ENERGY DEVELOPMENT COMPANY,13,93334,93334,,,,,,
CHRISTMAS G B,13,38125,38125,,,,,,
CREST PETROLEUM INCORPORATED,13,7783,7783,,,,,,
SHARP C W,13,50212,50212,,,,,,
BROWN R W ET AL,13,80139,80139,,,,,,
ASSOCIATED OPERATING & EXPLORATION,13,1674,1674,,,,,,
DYNAMIC ENERGY,13,110036,110036,,,,,,
PARR & DELANEY OIL COMPANY,13,85107,85107,,,,,,
WEATHERBY ENERGY LLC,13,260364,260364,,,,,,
MISSION DRILLING COMPANY,13,143310,143310,,,,,,
MORMAC ENERGY CORPORATION,13,84367,84367,,,,,,
ENCO RESOURCES INCORPORATED,13,208620,208620,,,,,,
TRIBE OIL,13,169642,169642,,,,,,
TORA OIL & GAS LLC,13,227567,227567,,,,,,
MEL RAY OIL COMPANY,13,22361,22361,,,,,,
BECKHAM RESOURCES INCORPORATED,13,129920,129920,,,,,,
COLORADO WESTERN EXPLORATION,13,100254,100254,,,,,,
SHEEHAN MARK,13,173974,173974,,,,,,
BALE CORPORATION THE,13,42746,42746,,,,,,
RHINE PETROLEUM,13,199762,199762,,,,,,
CENARD OIL & GAS COMPANY,13,6013,6013,,,,,,
RAM OIL & GAS COMPANY,13,27648,27648,,,,,,
MEGA ENERGY LLC,13,249468,249468,,,,,,
W & W OIL CORPORATION,13,92485,92485,,,,,,
BEAM JON W OIL & GAS COMPANY,13,42918,42918,,,,,,
TENNECO OIL COMPANY-TGCD,13,92937,92937,,,,,,
QUADRANT EXPLORATION INCORPORATED,13,27213,27213,,,,,,
MCFARLANE OPERATING COMPANY INC,13,22054,22054,,,,,,
SONTERRA OIL & GAS INCORPORATED,13,132190,132190,,,,,,
DOUGLAS MIKE E,13,106415,106415,,,,,,
AV-TECH RESOURCES CORPORATION,13,97594,97594,,,,,,
JERGINS OF TEXAS,13,142438,142438,,,,,,
EXETER OIL COMPANY LIMITED,13,81342,81342,,,,,,
INDEPENDENCE OIL COMPANY,13,55698,55698,,,,,,
CLARK & CLARK,13,6660,6660,,,,,,
BEAN & BEAN INCORPORATED,13,131698,131698,,,,,,
AILEY A C,13,42454,42454,,,,,,
SPICEWOOD OPERATING COMPANY LLC,13,255785,255785,,,,,,
DELAWARE OIL & GAS,13,141202,141202,,,,,,
KISTLER E L,13,165058,165058,,,,,,
FAIRCHILD PETROLEUM CORPORATION,13,57420,57420,,,,,,
B & R COMPANY,13,123544,123544,,,,,,
CAMPBELL GLENN A,13,159171,159171,,,,,,
MCCUTCHIN GENE,13,12589,12589,,,,,,
MITCHELL ENERGY COMPANY LP,13,208689,208689,,,,,,
KS OIL CORPORATION,13,68628,68628,,,,,,
GURLEY OIL COMPANY,13,13744,13744,,,,,,
IRWIN R A,13,82606,82606,,,,,,
M & S RESOURCES LLC,13,229790,229790,,,,,,
JETGAS COMPANY,13,17330,17330,,,,,,
MORGAN ETAL,13,470299,470299,,,,,,
SMITH-CLEARY,13,50488,50488,,,,,,
GIFFORD MITCHELL & M B WISENBAKER,13,12815,12815,,,,,,
HENDERSON DRILLING COMPANY,13,14936,14936,,,,,,
WASSON SOLID WASTE DISPOSAL LLC,13,211724,211724,,,,,,
SHANER GEORGE OIL COMPANY,13,50203,50203,,,,,,
WALLACE GEO C,13,51642,51642,,,,,,
W & W EXPLORATION INCORPORATED,13,35070,35070,,,,,,
SPERRY OIL COMPANY,13,31560,31560,,,,,,
