"API"
"05001097600100"
"05005071650100"
"05005071780100"
"05005071790100"
"05005071970100"
"05005071990100"
"05005072000200"
"05005072020100"
"05005072040100"
"05005072050100"
"05005072110000"
"05043061880000"
"05043062120000"
"05043062130000"
"05087081720000"
"05123305840000"
"05123306310000"
"05123307490000"
"05123309040000"
"05123309200000"
"05123309260000"
"05123309940000"
"05123309960100"
"05123310470100"
"05123310530000"
"05123311910000"
"05123312210000"
"05123312640000"
"05123313250000"
"05123313330100"
"05123313390000"
"05123313850000"
"05123314170100"
"05123314310000"
"05123314320100"
"05123314420000"
"05123314770000"
"05123314930000"
"05123315050100"
"05123317950000"
"05123319250000"
"05123319390000"
"05123319730100"
"05123320320000"
"05123321560000"
"05123322440000"
"05123322900100"
"05123323280000"
"05123323650000"
"05123323680000"
"05123324450100"
"05123324550000"
"05123324570000"
"05123324930300"
"05123325850000"
"05123326150100"
"05123326500000"
"05123326510000"
"05123326610000"
"05123326940000"
"05123326970000"
"05123327090000"
"05123327680000"
"05123327960000"
"05123328210000"
"05123328710000"
"05123329430000"
"05123329610000"
"05123329720000"
"05123329870100"
"05123330010000"
"05123330230000"
"05123330240000"
"05123330380000"
"05123330600200"
"05123330870000"
"05123330970000"
"05123331000100"
"05123331610000"
"05123332230000"
"05123332380000"
"05123332410000"
"05123332770000"
"05123332810000"
"05123333110000"
"05123333120000"
"05123333210000"
"05123333230000"
"05123333240000"
"05123333260000"
"05123333310000"
"05123333380100"
"05123333520000"
"05123333610000"
"05123333620000"
"05123333640000"
"05123333670000"
"05123333940000"
"05123334000000"
"05123334010000"
"05123334110100"
"05123334130000"
"05123334150000"
"05123334160000"
"05123334180000"
"05123334230000"
"05123334310000"
"05123334400000"
"05123334410000"
"05123334420000"
"05123334430000"
"05123334500000"
"05123334510000"
"05123334530000"
"05123334640000"
"05123334870000"
"05123335130000"
"05123335140000"
"05123335390000"
"05123335410000"
"05123335510000"
"05123335560000"
"05123335760000"
"05123335830000"
"05123335840000"
"05123335890000"
"05123335900000"
"05123336330100"
"05123336490000"
"05123336500000"
"05123336720000"
"05123336880000"
"05123336890000"
"05123337020000"
"05123338000000"
"05123338010000"
"05123338690000"
"05123339250000"
"05123339450000"
"05123339500000"
"05123339550000"
"05123339560100"
"05123339580000"
"05123339590000"
"05123339600000"
"05123339620000"
"05123339880000"
"05123340010000"
"05123340920000"
"05123341000100"
"05123341420000"
"05123341520000"
"05123341950000"
"05123342310000"
"05123342380000"
"05123342410000"
"05123342630000"
"05123342870000"
"05123343200000"
"05123343260000"
"05123343280000"
"05123343290000"
"05123343300000"
"05123343340000"
"05123343510000"
"05123343560000"
"05123343580000"
"05123343620000"
"05123343690000"
"05123343700000"
"05123343890000"
"05123344100000"
"05123344150000"
"05123344180000"
"05123344210000"
"05123344240000"
"05123344320000"
"05123344470000"
"05123344480000"
"05123344490000"
"05123344500000"
"05123344520000"
"05123344530000"
"05123344540000"
"05123344550000"
"05123344560000"
"05123344570000"
"05123344580000"
"05123344790000"
"05123344800000"
"05123344820000"
"05123344870000"
"05123344930000"
"05123344940000"
"05123345250000"
"05123345260000"
"05123345420000"
"05123345610100"
"05123346110100"
"05123346270000"
"05123346300000"
"05123346350100"
"05123346630000"
"05123346640000"
"05123346700000"
"05123346750000"
"05123346760000"
"05123346790000"
"05123346850100"
"05123346880000"
"05123347000000"
"05123347010000"
"05123347040000"
"05123347270000"
"05123347280000"
"05123347290000"
"05123347300000"
"05123347310000"
"05123347490000"
"05123347630000"
"05123347640000"
"05123347680000"
"05123347810000"
"05123347830000"
"05123347840000"
"05123347870000"
"05123348070000"
"05123348120000"
"05123348130000"
"05123348140000"
"05123348150000"
"05123348230000"
"05123348240000"
"05123348270000"
"05123348280000"
"05123348290000"
"05123348320000"
"05123348550000"
"05123348560000"
"05123348570000"
"05123348590000"
"05123348600000"
"05123348650000"
"05123348660000"
"05123348680100"
"05123348690000"
"05123348740000"
"05123348880000"
"05123348960000"
"05123349000000"
"05123349130000"
"05123349150000"
"05123349160000"
"05123349170000"
"05123349210000"
"05123349220000"
"05123349240000"
"05123349280000"
"05123349500000"
"05123349510000"
"05123349560000"
"05123349610000"
"05123349750000"
"05123349780000"
"05123349960000"
"05123350000000"
"05123350100000"
"05123350110000"
"05123350600000"
"05123350700000"
"05123350880000"
"05123350930000"
"05123351180000"
"05123351360000"
"05123351370000"
"05123351380000"
"05123351400100"
"05123351410000"
"05123351420000"
"05123351430000"
"05123351440000"
"05123351480000"
"05123351510000"
"05123351540000"
"05123351560000"
"05123351570000"
"05123351600100"
"05123351630000"
"05123351660000"
"05123351800000"
"05123351810000"
"05123351820000"
"05123351830000"
"05123351840000"
"05123351860000"
"05123351990000"
"05123352010000"
"05123352020000"
"05123352030000"
"05123352040000"
"05123352090000"
"05123352170000"
"05123352180000"
"05123352200000"
"05123352280000"
"05123352330000"
"05123352470000"
"05123352480000"
"05123352500000"
"05123352510000"
"05123352550000"
"05123352560000"
"05123352570000"
"05123352580000"
"05123352660000"
"05123352730000"
"05123352750000"
"05123352760000"
"05123352780000"
"05123352870000"
"05123352880000"
"05123353130000"
"05123353280000"
"05123353310000"
"05123353320000"
"05123353330000"
"05123353340000"
"05123353370000"
"05123353450000"
"05123353650000"
"05123353660000"
"05123353790000"
"05123353800000"
"05123353940000"
"05123354130000"
"05123354210000"
"05123354240000"
"05123354410200"
"05123354430000"
