"API","gas_month_1","gas_month_2","gas_month_3","gas_month_4","gas_month_5","gas_month_6","gas_month_7","gas_month_8","gas_month_9","gas_month_10","gas_month_11","gas_month_12","gas_month_13","gas_month_14","gas_month_15","gas_month_16","gas_month_17","gas_month_18","gas_month_19","gas_month_20","gas_month_21","gas_month_22","gas_month_23","gas_month_24","gas_month_25","gas_month_26","gas_month_27","gas_month_28","gas_month_29","gas_month_30","gas_month_31","gas_month_32","gas_month_33","gas_month_34","gas_month_35","gas_month_36","gas_month_37","gas_month_38","gas_month_39","gas_month_40","gas_month_41","gas_month_42","gas_month_43","gas_month_44","gas_month_45","gas_month_46","gas_month_47","gas_month_48","gas_month_49","gas_month_50","gas_month_51","gas_month_52","gas_month_53","gas_month_54","gas_month_55","gas_month_56","gas_month_57","gas_month_58","gas_month_59","gas_month_60","Forecast_type","EUR_GAS_MMCF","gas_month_1_error","gas_month_2_error","gas_month_3_error","gas_month_4_error","gas_month_5_error","gas_month_6_error","gas_month_7_error","gas_month_8_error","gas_month_9_error","gas_month_10_error","gas_month_11_error","gas_month_12_error","gas_month_13_error","gas_month_14_error","gas_month_15_error","gas_month_16_error","gas_month_17_error","gas_month_18_error","gas_month_19_error","gas_month_20_error","gas_month_21_error","gas_month_22_error","gas_month_23_error","gas_month_24_error","gas_month_25_error","gas_month_26_error","gas_month_27_error","gas_month_28_error","gas_month_29_error","gas_month_30_error","gas_month_31_error","gas_month_32_error","gas_month_33_error","gas_month_34_error","gas_month_35_error","gas_month_36_error","gas_month_37_error","gas_month_38_error","gas_month_39_error","gas_month_40_error","gas_month_41_error","gas_month_42_error","gas_month_43_error","gas_month_44_error","gas_month_45_error","gas_month_46_error","gas_month_47_error","gas_month_48_error","gas_month_49_error","gas_month_50_error","gas_month_51_error","gas_month_52_error","gas_month_53_error","gas_month_54_error","gas_month_55_error","gas_month_56_error","gas_month_57_error","gas_month_58_error","gas_month_59_error","gas_month_60_error","gas_month_1_error_percent","gas_month_2_error_percent","gas_month_3_error_percent","gas_month_4_error_percent","gas_month_5_error_percent","gas_month_6_error_percent","gas_month_7_error_percent","gas_month_8_error_percent","gas_month_9_error_percent","gas_month_10_error_percent","gas_month_11_error_percent","gas_month_12_error_percent","gas_month_13_error_percent","gas_month_14_error_percent","gas_month_15_error_percent","gas_month_16_error_percent","gas_month_17_error_percent","gas_month_18_error_percent","gas_month_19_error_percent","gas_month_20_error_percent","gas_month_21_error_percent","gas_month_22_error_percent","gas_month_23_error_percent","gas_month_24_error_percent","gas_month_25_error_percent","gas_month_26_error_percent","gas_month_27_error_percent","gas_month_28_error_percent","gas_month_29_error_percent","gas_month_30_error_percent","gas_month_31_error_percent","gas_month_32_error_percent","gas_month_33_error_percent","gas_month_34_error_percent","gas_month_35_error_percent","gas_month_36_error_percent","gas_month_37_error_percent","gas_month_38_error_percent","gas_month_39_error_percent","gas_month_40_error_percent","gas_month_41_error_percent","gas_month_42_error_percent","gas_month_43_error_percent","gas_month_44_error_percent","gas_month_45_error_percent","gas_month_46_error_percent","gas_month_47_error_percent","gas_month_48_error_percent","gas_month_49_error_percent","gas_month_50_error_percent","gas_month_51_error_percent","gas_month_52_error_percent","gas_month_53_error_percent","gas_month_54_error_percent","gas_month_55_error_percent","gas_month_56_error_percent","gas_month_57_error_percent","gas_month_58_error_percent","gas_month_59_error_percent","gas_month_60_error_percent","gas_year_1_cum_error","gas_year_2_cum_error","gas_year_3_cum_error","gas_year_4_cum_error","gas_year_5_cum_error","gas_year_1_cum_error_percent","gas_year_2_cum_error_percent","gas_year_3_cum_error_percent","gas_year_4_cum_error_percent","gas_year_5_cum_error_percent","FORECAST_NAME"
"05123327970000",683130,513150,415290,246060,87540,49620,142590,151260,174720,157020,168330,163470,141060,145590,171900,272220,250020,268380,203880,85380,156090,152460,167040,208230,183450,171990,155190,168630,105810,80670,115710,86550,0,0,0,85650,0,1530,0,900,108450,102390,80340,77010,71700,52590,80580,71460,67440,31140,24660,66990,53040,55590,58020,49260,49560,37830,35040,51780,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"05123327970000",715142.651752315,430564.781180577,311497.515693803,245469.129695759,203281.39133472,173901.481649465,152216.548473927,135525.696368226,122264.850977581,111464.233660237,102489.890288275,94909.5272020138,88418.0120661118,82793.6857474284,77871.560212551,73526.2395784971,69660.6785180296,66198.5727554947,63079.0806609368,60253.0821219391,57680.4757912725,55328.192841753,53168.7146683078,51178.9511914614,49339.3812469966,47633.3861844818,46046.7277594077,44567.1350791397,43183.9748786355,41887.9861187498,40671.0647043384,39526.087598177,38446.7681545161,37427.536381935,36463.4392549174,35550.0572572353,34683.4341497733,33860.0175766111,33076.6086035142,32330.3186571004,31618.5326263506,30938.8771197197,30289.1930550322,29667.5119062786,29072.0350494594,28501.1157449326,27953.2433710808,27427.0295871983,26921.1961551819,26434.5641921359,25966.0446611434,25514.6299366083,25079.3863048527,24659.4472809501,24254.0076397978,23862.3180737666,23483.6804013628,23117.4432615953,22762.9982374471,22419.7763592813,"arps",7709.26083863901,32012.6517523155,-82585.2188194226,-103792.484306197,-590.870304240554,115741.39133472,124281.481649465,9626.54847392737,-15734.3036317742,-52455.1490224189,-45555.7663397625,-65840.109711725,-68560.4727979862,-52641.9879338882,-62796.3142525716,-94028.439787449,-198693.760421503,-180359.32148197,-202181.427244505,-140800.919339063,-25126.9178780609,-98409.5242087275,-97131.807158247,-113871.285331692,-157051.048808539,-134110.618753003,-124356.613815518,-109143.272240592,-124062.86492086,-62626.0251213645,-38782.0138812502,-75038.9352956616,-47023.912401823,38446.7681545161,37427.536381935,36463.4392549174,-50099.9427427647,34683.4341497733,32330.0175766111,33076.6086035142,31430.3186571004,-76831.4673736494,-71451.1228802803,-50050.8069449678,-47342.4880937214,-42627.9649505406,-24088.8842550674,-52626.7566289192,-44032.9704128017,-40518.8038448181,-4705.43580786408,1306.04466114341,-41475.3700633917,-27960.6136951473,-30930.5527190499,-33765.9923602022,-25397.6819262334,-26076.3195986372,-14712.5567384047,-12277.0017625529,-29360.2236407187,0.0468617272734552,-0.160937774177965,-0.249927723533427,-0.00240132611655919,1.32215434469636,2.50466508765548,0.067512086920032,-0.104021576304206,-0.300224067207068,-0.290127157940151,-0.391137109913414,-0.419407064280824,-0.373188628483541,-0.431322990951107,-0.546994995854851,-0.729901404825152,-0.721379575561837,-0.753340141756112,-0.690606824303822,-0.294295126236366,-0.630466552685806,-0.63709699041222,-0.68170070241674,-0.754219126967962,-0.731047254036541,-0.723045606230119,-0.703288048460547,-0.735710519604224,-0.591872461216941,-0.480748901465851,-0.648508644850589,-0.54331499020015,NA,NA,NA,-0.584938035525565,NA,21.1307304422295,NA,34.9225762856671,-0.708450598189483,-0.697833019633561,-0.622987390402886,-0.61475766905235,-0.594532286618418,-0.458050660868366,-0.653099486583757,-0.616190461975954,-0.600812631150921,-0.151105838402829,0.0529620706059777,-0.619127781211998,-0.527160891688297,-0.556404977856628,-0.581971602209621,-0.51558428595683,-0.526156569786868,-0.388912417087093,-0.350371054867376,-0.567018610288116,-153452.3017231,-1576545.05556932,-2229451.51095079,-2506983.59350374,-2792858.10099961,-0.0519793175629873,-0.304679946500255,-0.35231089223758,-0.359422625207882,-0.369651572918849,6
"05123327970000",169674.960711793,139485.517262115,118731.672130131,103551.257773967,91944.5652733711,82770.2242394829,75328.2751566142,69165.0773591267,63973.4391958679,59537.7722503578,55702.2180088733,52351.2408290427,49397.3400151465,46773.0059443409,44425.300961539,42312.1160074415,40399.5272241189,38659.8925108274,37070.4567974511,35612.3139428752,34269.6230601857,33029.0092616336,31879.1000228921,30810.1626034483,29813.8176848373,28882.8111369569,28010.8305744079,27192.3567557365,26422.5423285474,25697.112214286,25012.281249575,24364.685688349,23751.3259127865,23169.5182662416,22616.8543544507,22091.1664957116,21590.498260877,21113.0792477681,20657.3033952736,20221.7102698526,19804.968858877,19405.8634868712,19023.2815365636,18656.2027100651,18303.689609002,17964.8794480491,17638.9767455957,17325.2468594571,17023.0102555942,16731.6374144852,16450.5442937323,16179.188277171,15917.0645505769,15663.702852364,15418.6645546882,15181.5400363385,14951.946313879,14729.5249018429,14513.9398765011,14304.8761209184,"ml",4117.92192509155,-513455.039288207,-373664.482737885,-296558.327869869,-142508.742226033,4404.56527337115,33150.2242394829,-67261.7248433858,-82094.9226408733,-110746.560804132,-97482.2277496422,-112627.781991127,-111118.759170957,-91662.6599848535,-98816.9940556591,-127474.699038461,-229907.883992559,-209620.472775881,-229720.107489173,-166809.543202549,-49767.6860571248,-121820.376939814,-119430.990738366,-135160.899977108,-177419.837396552,-153636.182315163,-143107.188863043,-127179.169425592,-141437.643244264,-79387.4576714526,-54972.887785714,-90697.7187504249,-62185.314311651,23751.3259127865,23169.5182662416,22616.8543544507,-63558.8335042884,21590.498260877,19583.0792477681,20657.3033952736,19321.7102698526,-88645.031141123,-82984.1365131288,-61316.7184634364,-58353.7972899349,-53396.310390998,-34625.1205519509,-62941.0232544043,-54134.7531405429,-50416.9897444058,-14408.3625855148,-8209.45570626766,-50810.811722829,-37122.9354494231,-39926.297147636,-42601.3354453118,-34078.4599636615,-34608.053686121,-23100.4750981571,-20526.0601234989,-37475.1238790816,-0.751621271629422,-0.728177887046448,-0.714099371210165,-0.579162571023462,0.0503148877469859,0.668081907285024,-0.471714179419215,-0.542740464371766,-0.633851652954053,-0.620826823013898,-0.669089181911285,-0.679750163155058,-0.649813270841156,-0.678734762385185,-0.741563112498319,-0.844566468270364,-0.838414817918091,-0.855950918433462,-0.818175118709775,-0.582896299568105,-0.780449592797836,-0.783359508975249,-0.809152897372533,-0.852037830267261,-0.837482596430432,-0.832066915884895,-0.819506214482841,-0.838745438203544,-0.750283127033859,-0.681453920735267,-0.783836476971955,-0.718490055593888,NA,NA,NA,-0.742076281427768,NA,12.7993982011557,NA,21.4685669665028,-0.817381568843919,-0.81047110570494,-0.763215315701225,-0.757743115049149,-0.744718415495091,-0.658397424452384,-0.781099817006755,-0.757553220550558,-0.747582884703526,-0.462696293690263,-0.332905746401771,-0.758483530718451,-0.699904514506469,-0.718228047268141,-0.734252592990552,-0.691807957037383,-0.698306168000828,-0.610639045682187,-0.585789387086156,-0.723737425242981,-1869963.77980926,-3627575.93145736,-4474200.62879547,-4889444.92836722,-5282729.28891913,-0.633417941930796,-0.701058074311056,-0.707039201273605,-0.700992673632546,-0.699201004968529,6
"05123329660000",682620,286050,256650,278520,246750,217380,191130,149910,182430,166020,139470,149040,101640,86580,78600,52290,33000,106290,85680,38430,37680,67050,53340,13230,37170,24390,8970,22770,38850,15870,45330,28410,16200,5790,0,0,0,37950,0,2040,6540,55470,86520,73410,67140,73260,24450,47850,75390,67620,80010,63300,67590,66120,50490,64560,71370,52080,52650,63060,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"05123329660000",651818.713702201,395505.16832129,287032.482276832,226573.852048556,187832.936779994,160802.721676138,140825.728524039,125434.419006854,113196.81900999,103223.620688953,94932.7337843656,87926.8214892667,81925.1867425587,76723.775125116,72170.6096793012,68150.122516838,64572.8332561998,61368.357339509,58480.5531670929,55864.0806829401,53481.9139291834,51303.512225383,49303.4548120873,47460.4072755992,45756.3292097155,44175.8597819246,42705.8362083332,41334.9127091585,40053.2562650251,38852.30167184,37724.5528121593,36663.4202625678,35663.0877020792,34718.4013231392,33824.7777453256,32978.1269118047,32174.7871946217,31411.4705074584,30685.215667316,29993.3485915509,29333.4481872769,28703.3170037679,28100.9558881821,27524.5420205002,26972.4098124935,26443.034243508,25935.0162772576,25447.0700620616,24978.0116646808,24526.7491271782,24092.2736686831,23673.651880865,23270.0187883507,22880.5716640676,22504.5645052259,22141.3030888928,21790.1405372959,21450.4733324687,21121.7377278987,20803.4065117072,"arps",7121.53680590352,-30801.2862977992,109455.16832129,30382.4822768316,-51946.1479514438,-58917.0632200064,-56577.2783238624,-50304.2714759612,-24475.5809931461,-69233.1809900104,-62796.3793110473,-44537.2662156344,-61113.1785107333,-19714.8132574413,-9856.22487488399,-6429.39032069876,15860.122516838,31572.8332561998,-44921.642660491,-27199.4468329071,17434.0806829401,15801.9139291834,-15746.487774617,-4036.54518791274,34230.4072755992,8586.32920971548,19785.8597819246,33735.8362083332,18564.9127091585,1203.25626502508,22982.30167184,-7605.44718784066,8253.42026256784,19463.0877020792,28928.4013231392,33824.7777453256,32978.1269118047,32174.7871946217,-6538.52949254163,30685.215667316,27953.3485915509,22793.4481872769,-26766.6829962321,-58419.0441118179,-45885.4579794998,-40167.5901875065,-46816.965756492,1485.0162772576,-22402.9299379384,-50411.9883353192,-43093.2508728218,-55917.7263313169,-39626.348119135,-44319.9812116493,-43239.4283359324,-27985.4354947741,-42418.6969111072,-49579.8594627041,-30629.5266675313,-31528.2622721013,-42256.5934882928,-0.0451221562476916,0.382643483031952,0.118380994649646,-0.186507783826812,-0.23877229268493,-0.260269014278509,-0.263194011803282,-0.163268501054941,-0.379505459573592,-0.378245869841268,-0.319332230699322,-0.410045481150921,-0.193967072584035,-0.113839511144421,-0.081798859041969,0.303310815009332,0.956752522915146,-0.422632822095127,-0.317453861261755,0.453658097396307,0.419371388778753,-0.234846946675868,-0.0756757628030134,2.58733237154945,0.23100159294365,0.811228363342544,3.76096278799702,0.815323351302523,0.0309718472335927,1.44816015575551,-0.167779554110758,0.290511096887288,1.20142516679501,4.99626965857326,NA,NA,NA,-0.172293267260649,NA,13.7026218586034,3.48523672588331,-0.482543410784787,-0.675208554228132,-0.625057321611495,-0.598266163054908,-0.639052221628338,0.0607368620555256,-0.468190803300698,-0.668682694459732,-0.637285579308219,-0.698884218614134,-0.626008659070063,-0.655718023548591,-0.653953846580949,-0.554276797282116,-0.657043012873408,-0.694687676372482,-0.588124551987928,-0.59882739358217,-0.670101387381744,-370863.982691523,-383869.175939715,-163168.313336642,-295073.697880647,-796080.795383332,-0.125888580905957,-0.103754595121795,-0.0413762069355733,-0.0667865577255344,-0.153316538668695,6
"05123329660000",178164.505544644,138645.770632447,113928.657893679,96949.501146198,84536.5300913882,75049.3983001598,67552.6248145898,61472.8738491803,56438.7513993538,52198.8601605325,48576.8258337345,45445.1743085978,42709.4327935044,40298.0667829794,38155.8946730503,36239.6524215706,34514.9304551905,32954.0111052879,31534.3116857983,30237.2438654641,29047.3648197847,27951.7365124831,26939.4358155255,26001.1755380199,25129.00808793,24316.0914492787,23556.502679605,22845.088020057,22177.3414844375,21549.3057975678,20957.4910179724,20398.8072618745,19870.5087528423,19370.1470295373,18895.5316060926,18444.6967336817,18015.8731852005,17607.4641976146,17218.024873067,16846.2444711355,16490.9311287878,16150.9986277004,15825.4548953007,15513.391979704,15213.9772823433,14926.4458676427,14650.0936981815,14384.2716677202,14128.3803242169,13881.8651913321,13644.2126105543,13414.9460374579,13193.6227351512,12979.8308159988,12773.1865894784,12573.3321797675,12379.9333815296,12192.6777265148,12011.272737139,11835.4443462386,"ml",3522.57757682366,-504455.494455356,-147404.229367553,-142721.342106321,-181570.498853802,-162213.469908612,-142330.60169984,-123577.37518541,-88437.1261508197,-125991.248600646,-113821.139839467,-90893.1741662656,-103594.825691402,-58930.5672064956,-46281.9332170206,-40444.1053269497,-16050.3475784294,1514.93045519054,-73335.9888947122,-54145.6883142017,-8192.75613453593,-8632.63518021535,-39098.2634875169,-26400.5641844745,12771.1755380199,-12040.99191207,-73.9085507213167,14586.502679605,75.0880200569845,-16672.6585155625,5679.30579756778,-24372.5089820276,-8011.1927381255,3670.50875284234,13580.1470295373,18895.5316060926,18444.6967336817,18015.8731852005,-20342.5358023854,17218.024873067,14806.2444711355,9950.93112878777,-39319.0013722996,-70694.5451046993,-57896.608020296,-51926.0227176567,-58333.5541323573,-9799.90630181855,-33465.7283322798,-61261.6196757831,-53738.1348086679,-66365.7873894457,-49885.0539625421,-54396.3772648488,-53140.1691840012,-37716.8134105216,-51986.6678202325,-58990.0666184704,-39887.3222734852,-40638.727262861,-51224.5556537614,-0.738998995715561,-0.515309314342083,-0.556093286991315,-0.651911887310793,-0.65740008068333,-0.654754815069649,-0.646561896015331,-0.589934801886597,-0.690627904405231,-0.68558691627194,-0.651704123942536,-0.695080687677149,-0.579797001244545,-0.534556863213452,-0.514556047416663,-0.306948701060038,0.0459069834906226,-0.689961321805552,-0.631952477990216,-0.213186472405306,-0.229103906056671,-0.583121006525233,-0.494948709870162,0.965319390628866,-0.323943823300243,-0.00303028088238281,1.62614299661149,0.00329767325678456,-0.429154659345238,0.357864259456067,-0.537668409045392,-0.28198496086327,0.226574614372984,2.34544853705308,NA,NA,NA,-0.536035199008838,NA,7.2579629760468,1.52154910226113,-0.708833628489267,-0.817089055763977,-0.788674676751069,-0.773399206399415,-0.796253810160487,-0.40081416367356,-0.699388261907624,-0.812596095978023,-0.79470770199154,-0.829468658785723,-0.788073522315041,-0.80479919018862,-0.803692818874791,-0.747015516152142,-0.805245784080429,-0.826538694387984,-0.765885604329594,-0.771865665011605,-0.812314552073603,-1927010.5260255,-2284237.26955684,-2270476.74963596,-2552263.57776156,-3171494.87308618,-0.654117498150183,-0.617398134363891,-0.575747299915548,-0.577675678961731,-0.610795561414025,6
"05123333120000",1811190,1526160,1106730,973080,858630,723330,711300,624480,610620,452310,553950,414480,426210,424950,413190,395910,386220,330180,367260,341850,335460,354780,353940,352860,302850,297480,189720,306360,187980,232920,257940,232920,80730,0,0,131730,87990,97650,87960,121440,92160,77790,71910,96390,87930,82080,79980,108120,90240,111690,108600,108750,111870,100590,105360,86010,88530,84870,94380,91290,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"05123333120000",1848172.38212705,1419859.84562662,1157701.74267012,980050.167193717,851386.531306351,753722.233435034,676950.707777729,614947.132602894,563778.67835156,520801.923142374,484173.025897987,452565.802402814,425001.439410129,400741.403279241,379217.741993775,359986.365644,342694.915560307,327060.162962501,312851.790401922,299880.544501133,287989.442509881,277047.150754389,266942.932919904,257582.749788826,248886.214957946,240784.194747752,233216.898428277,226132.345555708,219485.126167063,213235.390453263,207348.01975592,201791.941959797,196539.562715647,191566.290216988,186850.136025871,182371.378093259,178112.274934694,174056.822108804,170190.543857004,166500.31410999,162974.202134284,159601.338943157,156371.801278571,153276.510520747,150307.144327464,147456.059167967,144716.22221295,142081.151285877,139544.861781952,137101.819627627,134746.899492114,132475.347577999,130282.748414943,128164.995161941,126118.2629923,124138.985193635,122223.831664569,120369.689531786,118573.645647,116832.970754098,"arps",35951.2704971591,36982.3821270526,-106300.154373385,50971.7426701181,6970.16719371697,-7243.4686936494,30392.2334350342,-34349.292222271,-9532.86739710579,-46841.32164844,68491.9231423739,-69776.9741020126,38085.8024028137,-1208.56058987119,-24208.5967207586,-33972.2580062253,-35923.634356,-43525.0844396928,-3119.83703749854,-54408.2095980778,-41969.4554988673,-47470.5574901187,-77732.8492456113,-86997.0670800965,-95277.2502111738,-53963.7850420545,-56695.8052522475,43496.8984282773,-80227.6544442916,31505.1261670634,-19684.6095467373,-50591.9802440804,-31128.0580402028,115809.562715647,191566.290216988,186850.136025871,50641.3780932591,90122.2749346936,76406.822108804,82230.5438570039,45060.3141099897,70814.202134284,81811.3389431568,84461.8012785715,56886.5105207466,62377.1443274644,65376.0591679671,64736.2222129495,33961.1512858774,49304.8617819525,25411.8196276269,26146.8994921141,23725.3475779988,18412.7484149427,27574.9951619414,20758.2629922997,38128.985193635,33693.8316645692,35499.6895317858,24193.6456470001,25542.970754098,0.0204188307836575,-0.0696520380388588,0.0460561678730297,0.00716299501964584,-0.0084360768825331,0.0420171062102141,-0.0482908649265724,-0.0152652885554474,-0.0767110832407061,0.151426948646667,-0.12596258525501,0.09188815480316,-0.00283559885941483,-0.0569681061789825,-0.0822194583756269,-0.090736870389735,-0.112695055770527,-0.00944889768459185,-0.148146298529864,-0.122771553309543,-0.141508846032668,-0.219101553767437,-0.245796087133685,-0.27001431222347,-0.17818651161319,-0.190586947869596,0.229268914338379,-0.261873790456625,0.167598287940544,-0.0845123198812354,-0.196138560301157,-0.133642701529292,1.43452945268979,NA,NA,0.38443314425916,1.02423315075229,0.782455935574029,0.934862936073259,0.371050017374751,0.768383269686241,1.05169480579968,1.17454875926257,0.590170251278624,0.709395477396388,0.796491948927475,0.809405128944105,0.314106097723616,0.546374798115608,0.227520992278869,0.240763347072873,0.218164115659759,0.164590582059021,0.274132569459602,0.197022237967917,0.443308745420707,0.380592247425383,0.418283133401506,0.256342929084553,0.279800314975331,-42149.827465754,-587963.187739745,-260385.688662253,553858.696219254,902252.754059218,-0.00406605926011445,-0.0395959604028902,-0.0152542627382,0.0304969796003135,0.0466442482381074,6
"05123333120000",335340.342648793,275457.342647241,234347.603729964,204306.752307993,181354.235271485,163221.568611258,148519.190118116,136347.348851616,126097.206612934,117341.73545078,109772.373513544,103160.486533325,97332.9827451769,92156.3591623204,87525.9589945453,83358.55418989,79587.1095845223,76157.0139831542,73023.3193729078,70148.6866240951,67501.8350638792,65056.3571766817,62789.8017441719,60682.956965014,58719.2843694811,56884.4677160257,55166.0504698147,53553.1421789039,52036.1789150079,50606.7264910034,49257.3177860267,47981.3174629008,46772.8088341978,45626.498751352,44537.6372478383,43501.9493288138,42515.5768140273,41575.028543685,40677.1375745681,39819.0242456427,38998.0641934392,38211.8605587958,37458.2197566985,36735.1302864634,36040.7441454808,35373.3604801061,34731.4111651366,34113.4480510777,33518.1316579998,32944.2211277361,32390.5652736984,31856.0945906606,31339.8141062675,30840.7969724091,30358.1787084648,29891.1520202033,29438.962128152,29000.9025478194,28576.3112714928,28164.5673076363,"ml",8210.07682099817,-1475849.65735121,-1250702.65735276,-872382.396270036,-768773.247692007,-677275.764728515,-560108.431388741,-562780.809881884,-488132.651148384,-484522.793387066,-334968.26454922,-444177.626486456,-311319.513466675,-328877.017254823,-332793.64083768,-325664.041005455,-312551.44581011,-306632.890415478,-254022.986016846,-294236.680627092,-271701.313375905,-267958.164936121,-289723.642823318,-291150.198255828,-292177.043034986,-244130.715630519,-240595.532283974,-134553.949530185,-252806.857821096,-135943.821084992,-182313.273508997,-208682.682213973,-184938.682537099,-33957.1911658022,45626.498751352,44537.6372478383,-88228.0506711862,-45474.4231859727,-56074.971456315,-47282.8624254319,-81620.9757543573,-53161.9358065608,-39578.1394412042,-34451.7802433015,-59654.8697135366,-51889.2558545192,-46706.6395198939,-45248.5888348634,-74006.5519489223,-56721.8683420002,-78745.7788722639,-76209.4347263016,-76893.9054093394,-80530.1858937325,-69749.2030275909,-75001.8212915352,-56118.8479797967,-59091.037871848,-55869.0974521806,-65803.6887285072,-63125.4326923637,-0.814850820372908,-0.81950952544475,-0.788252235206451,-0.79004115560078,-0.788786514247714,-0.774347021952278,-0.791200351303085,-0.781662585108224,-0.793493160045636,-0.740572316661626,-0.801837036711717,-0.751108650517938,-0.771631395919437,-0.783135994440945,-0.788170190482477,-0.789450748427951,-0.793933225662777,-0.769346980485934,-0.801167240176148,-0.794796879847608,-0.798778289322485,-0.816629017484972,-0.822597610487168,-0.828025401108049,-0.806110997624299,-0.808778849952852,-0.709223853732792,-0.825195383930983,-0.723182365597362,-0.782729149532013,-0.809035753330128,-0.794000869556497,-0.420626671197847,NA,NA,-0.669764295689563,-0.516813537742615,-0.574244459358065,-0.537549595559708,-0.672109484143258,-0.576843921512162,-0.508781841383265,-0.479095817595627,-0.618890649585399,-0.590120048385298,-0.56903800584666,-0.565748797635201,-0.684485312143196,-0.628566803435286,-0.705038757921604,-0.701744334496331,-0.707070394568638,-0.719855062963551,-0.693400964584858,-0.711862388871823,-0.652468875477232,-0.667469082478798,-0.658290296361265,-0.697220690066828,-0.691482448158218,-8230993.81370295,-11798482.8780966,-13414469.4985452,-14049620.4927301,-14863480.7950176,-0.794017689475563,-0.79456039186943,-0.785864397062938,-0.773610656443173,-0.768405399447124,6
"05123333520000",361080,48600,47070,24930,11550,67980,28590,20550,14580,14340,36720,3270,48480,22560,21990,11100,22260,15810,18990,15120,9780,15780,16380,18030,19050,16410,13650,15060,16530,9270,10860,9630,14970,14370,15900,14130,16710,26610,31320,26850,24300,32490,17910,22290,19500,30720,25200,23940,23130,21330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
