"API","gas_month_1","gas_month_2","gas_month_3","gas_month_4","gas_month_5","gas_month_6","gas_month_7","gas_month_8","gas_month_9","gas_month_10","gas_month_11","gas_month_12","gas_month_13","gas_month_14","gas_month_15","gas_month_16","gas_month_17","gas_month_18","gas_month_19","gas_month_20","gas_month_21","gas_month_22","gas_month_23","gas_month_24","gas_month_25","gas_month_26","gas_month_27","gas_month_28","gas_month_29","gas_month_30","gas_month_31","gas_month_32","gas_month_33","gas_month_34","gas_month_35","gas_month_36","gas_month_37","gas_month_38","gas_month_39","gas_month_40","gas_month_41","gas_month_42","gas_month_43","gas_month_44","gas_month_45","gas_month_46","gas_month_47","gas_month_48","gas_month_49","gas_month_50","gas_month_51","gas_month_52","gas_month_53","gas_month_54","gas_month_55","gas_month_56","gas_month_57","gas_month_58","gas_month_59","gas_month_60","Forecast_type","EUR_GAS_MMCF","gas_month_1_error","gas_month_2_error","gas_month_3_error","gas_month_4_error","gas_month_5_error","gas_month_6_error","gas_month_7_error","gas_month_8_error","gas_month_9_error","gas_month_10_error","gas_month_11_error","gas_month_12_error","gas_month_13_error","gas_month_14_error","gas_month_15_error","gas_month_16_error","gas_month_17_error","gas_month_18_error","gas_month_19_error","gas_month_20_error","gas_month_21_error","gas_month_22_error","gas_month_23_error","gas_month_24_error","gas_month_25_error","gas_month_26_error","gas_month_27_error","gas_month_28_error","gas_month_29_error","gas_month_30_error","gas_month_31_error","gas_month_32_error","gas_month_33_error","gas_month_34_error","gas_month_35_error","gas_month_36_error","gas_month_37_error","gas_month_38_error","gas_month_39_error","gas_month_40_error","gas_month_41_error","gas_month_42_error","gas_month_43_error","gas_month_44_error","gas_month_45_error","gas_month_46_error","gas_month_47_error","gas_month_48_error","gas_month_49_error","gas_month_50_error","gas_month_51_error","gas_month_52_error","gas_month_53_error","gas_month_54_error","gas_month_55_error","gas_month_56_error","gas_month_57_error","gas_month_58_error","gas_month_59_error","gas_month_60_error","gas_month_1_error_percent","gas_month_2_error_percent","gas_month_3_error_percent","gas_month_4_error_percent","gas_month_5_error_percent","gas_month_6_error_percent","gas_month_7_error_percent","gas_month_8_error_percent","gas_month_9_error_percent","gas_month_10_error_percent","gas_month_11_error_percent","gas_month_12_error_percent","gas_month_13_error_percent","gas_month_14_error_percent","gas_month_15_error_percent","gas_month_16_error_percent","gas_month_17_error_percent","gas_month_18_error_percent","gas_month_19_error_percent","gas_month_20_error_percent","gas_month_21_error_percent","gas_month_22_error_percent","gas_month_23_error_percent","gas_month_24_error_percent","gas_month_25_error_percent","gas_month_26_error_percent","gas_month_27_error_percent","gas_month_28_error_percent","gas_month_29_error_percent","gas_month_30_error_percent","gas_month_31_error_percent","gas_month_32_error_percent","gas_month_33_error_percent","gas_month_34_error_percent","gas_month_35_error_percent","gas_month_36_error_percent","gas_month_37_error_percent","gas_month_38_error_percent","gas_month_39_error_percent","gas_month_40_error_percent","gas_month_41_error_percent","gas_month_42_error_percent","gas_month_43_error_percent","gas_month_44_error_percent","gas_month_45_error_percent","gas_month_46_error_percent","gas_month_47_error_percent","gas_month_48_error_percent","gas_month_49_error_percent","gas_month_50_error_percent","gas_month_51_error_percent","gas_month_52_error_percent","gas_month_53_error_percent","gas_month_54_error_percent","gas_month_55_error_percent","gas_month_56_error_percent","gas_month_57_error_percent","gas_month_58_error_percent","gas_month_59_error_percent","gas_month_60_error_percent","gas_year_1_cum_error","gas_year_2_cum_error","gas_year_3_cum_error","gas_year_4_cum_error","gas_year_5_cum_error","gas_year_1_cum_error_percent","gas_year_2_cum_error_percent","gas_year_3_cum_error_percent","gas_year_4_cum_error_percent","gas_year_5_cum_error_percent","FORECAST_NAME"
"05123327970000",683130,513150,415290,246060,87540,49620,142590,151260,174720,157020,168330,163470,141060,145590,171900,272220,250020,268380,203880,85380,156090,152460,167040,208230,183450,171990,155190,168630,105810,80670,115710,86550,0,0,0,85650,0,1530,0,900,108450,102390,80340,77010,71700,52590,80580,71460,67440,31140,24660,66990,53040,55590,58020,49260,49560,37830,35040,51780,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"05123327970000",706799.961430415,447115.005513193,330204.62994349,263168.188887243,219499.98608112,188701.910787844,165766.248205661,147994.906197825,133802.76574927,122196.127760797,112519.731623151,104323.596188631,97288.2476792509,91180.467567273,85825.9355069353,81091.68286642,76874.478531347,73092.9287900364,69681.9738530427,66588.9724039995,63770.8633449225,61192.0736428774,58822.9527207882,56638.5847756735,54617.8765417175,52742.8486269574,50998.0792388177,49370.2633286909,47847.8601046429,46420.8088808478,45080.2982652297,43818.5773391153,42628.8001631127,41504.8969312446,40441.4665840204,39433.6868162252,38477.2382728533,37568.2403856906,36703.1968134006,35878.948845994,35092.6354470968,34341.6588544258,33623.6548552562,32936.4670107156,32278.1242290215,31646.821189853,31040.9012049753,30458.841167917,29899.2383009983,29360.7984537133,28842.32574426,28342.7133673925,27860.9354179181,27396.0396010381,26947.1407190907,26513.4148397221,26094.0940635783,25688.4618206877,25295.8486341242,24915.6282975689,"arps",8390.53780142146,23669.961430415,-66034.9944868071,-85085.3700565103,17108.1888872433,131959.98608112,139081.910787844,23176.2482056605,-3265.0938021749,-40917.2342507296,-34823.8722392032,-55810.2683768489,-59146.4038113695,-43771.7523207491,-54409.532432727,-86074.0644930647,-191128.31713358,-173145.521468653,-195287.071209964,-134198.026146957,-18791.0275960005,-92319.1366550775,-91267.9263571226,-108217.047279212,-151591.415224326,-128832.123458283,-119247.151373043,-104191.920761182,-119259.736671309,-57962.1398953571,-34249.1911191522,-70629.7017347703,-42731.4226608847,42628.8001631127,41504.8969312446,40441.4665840204,-46216.3131837748,38477.2382728533,36038.2403856906,36703.1968134006,34978.948845994,-73357.3645529032,-68048.3411455742,-46716.3451447438,-44073.5329892844,-39421.8757709785,-20943.178810147,-49539.0987950247,-41001.158832083,-37540.7616990017,-1779.20154628675,4182.32574425995,-38647.2866326075,-25179.0645820819,-28193.9603989619,-31072.8592809093,-22746.5851602779,-23465.9059364217,-12141.5381793123,-9744.15136587583,-26864.3717024311,0.0346492782199802,-0.128685558777759,-0.204881817661177,0.0695285251046219,1.50742501806168,2.80294056404361,0.162537682906659,-0.0215859698676114,-0.234187467094377,-0.221779851224068,-0.331552714173641,-0.361818093909399,-0.31030591465156,-0.373717511042839,-0.500721724799678,-0.702109753631548,-0.692526683739913,-0.7276513570682,-0.658220650122412,-0.220086994565478,-0.59144811746478,-0.598635224695806,-0.647851097217503,-0.727999881017752,-0.702273771917594,-0.69333770203525,-0.671382954837182,-0.707227282638375,-0.54779453638935,-0.42455920564215,-0.610402745957742,-0.493719499259211,NA,NA,NA,-0.539595016739928,NA,23.5544054808435,NA,38.8654987177711,-0.676416455075179,-0.664599483793087,-0.581483011510379,-0.572309219442727,-0.549816956359533,-0.398235003045199,-0.614781568565707,-0.573763767591422,-0.556654236343442,-0.0571355666758749,0.169599584114353,-0.57691127978217,-0.474718412181031,-0.507176837542038,-0.535554279229737,-0.461765837602069,-0.473484784834983,-0.320949991522926,-0.278086511583214,-0.518817529981289,-10086.9416313609,-1350287.77994879,-1949032.31712817,-2185935.58885097,-2439128.94959088,-0.00341677730740026,-0.260953917619679,-0.307997420564875,-0.313394435414754,-0.322833391515831,12
"05123327970000",170656.220963235,141682.99039133,121415.599151058,106409.492000456,94832.3849484208,85617.8408407127,78102.0839446656,71849.8790356582,66563.7093054195,62033.1473236396,58105.0699361007,54665.3366651413,51627.0882808482,48923.0297589247,46500.1977238961,44316.3254440325,42337.263095742,40535.111868583,38886.8512838503,37373.3138171634,35978.4082998568,34688.5243080298,33492.0700924449,32379.1103207976,31341.0793118581,30370.5519936443,29461.0594472471,28606.939211982,27803.2129290523,27045.4856609815,26329.862527714,25652.8792754229,25011.44413024,24402.7888497234,23824.4273152643,23274.1203415911,22749.845638982,22249.7720673557,21772.237482152,21315.7295996273,20878.8694112471,20460.3967588746,20059.1577487017,19674.0937356574,19304.2316539056,18948.6755050013,18606.5988448707,18277.2381352395,17959.8868454358,17653.8902074019,17358.6405408872,17073.5730776568,16798.1622235399,16531.9182055752,16274.3840586598,16025.1329121844,15783.7655423146,15549.9081600046,15323.2104086245,15103.3435483436,"ml",4320.34277667003,-512473.779036765,-371467.00960867,-293874.400848942,-139650.507999544,7292.3849484208,35997.8408407127,-64487.9160553344,-79410.1209643418,-108156.290694581,-94986.8526763604,-110224.930063899,-108804.663334859,-89432.9117191518,-96666.9702410753,-125399.802276104,-227903.674555968,-207682.736904258,-227844.888131417,-164993.14871615,-48006.6861828366,-120111.591700143,-117771.47569197,-133547.929907555,-175850.889679202,-152108.920688142,-141619.448006356,-125728.940552753,-140023.060788018,-78006.7870709477,-53624.5143390185,-89380.137472286,-60897.1207245771,25011.44413024,24402.7888497234,23824.4273152643,-62375.8796584089,22749.845638982,20719.7720673557,21772.237482152,20415.7295996273,-87571.1305887529,-81929.6032411254,-60280.8422512983,-57335.9062643426,-52395.7683460944,-33641.3244949987,-61973.4011551292,-53182.7618647605,-49480.1131545642,-13486.1097925981,-7301.35945911283,-49916.4269223432,-36241.8377764601,-39058.0817944248,-41745.6159413402,-33234.8670878156,-33776.2344576854,-22280.0918399954,-19716.7895913755,-36676.6564516564,-0.750184853595604,-0.723895565835857,-0.707636593341862,-0.56754656587639,0.0833034606856386,0.725470391791871,-0.452261140720488,-0.524990883011647,-0.619026389048652,-0.604934738736215,-0.654814531360419,-0.665594074355286,-0.63400617977564,-0.663967101044545,-0.729492741571285,-0.837204006156666,-0.830664494457475,-0.848963738473124,-0.809265983500833,-0.562270861827555,-0.769502157089777,-0.772474588036011,-0.799496706822049,-0.844503144019605,-0.829157376332199,-0.823416756825139,-0.810161354164269,-0.830356762070912,-0.737234543719381,-0.664739238118488,-0.772449550361127,-0.703606247539886,NA,NA,NA,-0.728264794610728,NA,13.5423346845462,NA,22.6841439995859,-0.807479304645025,-0.800171923441014,-0.750321661081632,-0.744525467658,-0.730763854199365,-0.639690520916499,-0.769091600336675,-0.744231204376721,-0.733690883074796,-0.433079954804049,-0.296081081067025,-0.745132511156042,-0.683292567429488,-0.702609854190048,-0.719503894197522,-0.674682644900844,-0.681522083488405,-0.588952996034773,-0.562693766877155,-0.708317042326312,-1840246.24549416,-3575458.95119999,-4405985.10020527,-4808638.25362366,-5191552.43789303,-0.623351640311283,-0.69098605086937,-0.696259386765855,-0.689407537117927,-0.687133200169022,12
"05123329660000",682620,286050,256650,278520,246750,217380,191130,149910,182430,166020,139470,149040,101640,86580,78600,52290,33000,106290,85680,38430,37680,67050,53340,13230,37170,24390,8970,22770,38850,15870,45330,28410,16200,5790,0,0,0,37950,0,2040,6540,55470,86520,73410,67140,73260,24450,47850,75390,67620,80010,63300,67590,66120,50490,64560,71370,52080,52650,63060,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"05123329660000",623953.418427339,420228.020763843,319328.186459721,258687.61175213,218055.67950036,188853.416128391,166810.221356578,149555.810563266,135666.75687261,124235.503097732,114655.485619373,106505.571268561,99484.0294775774,93368.8918123942,87993.1495451201,83228.6819347834,78975.5237683353,75154.508555276,71702.1086773305,68566.7422804487,65706.0817810293,63085.0602992289,60674.3733066774,58449.3374572374,56389.010904144,54475.5076615315,52693.4577640806,51029.5782335834,49472.3291518561,48011.6357416174,46638.6621087531,45345.625760036,44125.6445585301,42972.6096744869,41881.0795132432,40846.1906805452,39863.582870269,38929.3351946756,38039.9119702726,37192.1163576342,36383.0505566595,35610.0814987729,34870.8111687497,34163.0508420108,33484.7986465823,32834.2199587867,32209.6302229796,31609.4798520614,31032.3409200212,30476.8954027343,29941.9247604656,29426.3006864744,28928.9768719394,28448.981659042,27985.4114722173,27537.4249328988,27104.2375760417,26685.117097701,26279.379072299,25886.3830861973,"arps",8468.82372549138,-58666.5815726612,134178.020763843,62678.1864597211,-19832.38824787,-28694.3204996396,-28526.583871609,-24319.7786434219,-354.189436734014,-46763.24312739,-41784.4969022683,-24814.5143806272,-42534.4287314392,-2155.97052242258,6788.89181239415,9393.14954512015,30938.6819347834,45975.5237683353,-31135.491444724,-13977.8913226695,30136.7422804487,28026.0817810293,-3964.93970077114,7334.3733066774,45219.3374572374,19219.010904144,30085.5076615315,43723.4577640806,28259.5782335834,10622.3291518561,32141.6357416174,1308.66210875309,16935.625760036,27925.6445585301,37182.6096744869,41881.0795132432,40846.1906805452,39863.582870269,979.33519467555,38039.9119702726,35152.1163576342,29843.0505566595,-19859.9185012271,-51649.1888312503,-39246.9491579892,-33655.2013534177,-40425.7800412133,7759.63022297962,-16240.5201479386,-44357.6590799788,-37143.1045972657,-50068.0752395344,-33873.6993135256,-38661.0231280606,-37671.018340958,-22504.5885277827,-37022.5750671012,-44265.7624239583,-25394.882902299,-26370.620927701,-37173.6169138027,-0.0859432503774592,0.469071913175468,0.244216584686231,-0.0712063343669036,-0.116289039512217,-0.131229109723107,-0.127242079440286,-0.00236268051987201,-0.256335269020391,-0.251683513445779,-0.177920085901106,-0.285389350049914,-0.021211831192666,0.0784117788449313,0.119505719403564,0.591674927037357,1.39319768994956,-0.292929640085841,-0.163140655026488,0.784198341932051,0.743791979326679,-0.0591340745827166,0.137502311711237,3.41793933917138,0.51705705956804,1.23351814930429,4.87441000714388,1.24108819646831,0.273419025787801,2.02530786021534,0.0288696692864127,0.596114951074834,1.72380521966235,6.42186695586992,NA,NA,NA,0.0258059339835455,NA,17.2314295870756,4.56315757747088,-0.35802989906665,-0.596962422922449,-0.534626742378275,-0.501269010327937,-0.551812449375011,0.31736728928342,-0.33940480977928,-0.588375899721167,-0.549291697682131,-0.625772718904318,-0.535129531019362,-0.571993240539438,-0.569737119494223,-0.445723678506293,-0.573459960766747,-0.620229261930199,-0.487612958953514,-0.500866494353295,-0.589495986581077,-119434.318190096,33144.1707053422,363275.50245775,313835.571597205,-120671.054864764,-0.0405415934955537,0.00895841663702766,0.0921193708321605,0.0710330933232849,-0.0232399381528319,12
"05123329660000",172071.80444812,131712.5519445,107160.220818474,90585.3729762663,78612.1915310464,69540.8814086434,62420.3719832227,56676.0671339215,51939.8957126969,47964.936827244,44579.2294221915,41659.2531072157,39113.9432430463,36874.6556436646,34888.6450433318,33114.6992491407,31520.1399525746,30078.7151469531,28769.0880756573,27573.7343164336,26478.1237406591,25470.1049163113,24539.4357306937,23677.4211933219,22876.630867476,22130.6761955763,21434.0333886167,20781.9013432232,20170.0867487381,19594.9104912953,19053.1308794824,18541.8802610073,18058.6123777206,17601.0583911089,17167.1899538603,16755.1880422866,16363.4165258403,15990.3996530085,15634.8027916552,15295.4158868985,14971.139198641,14660.9709598018,14363.9966595586,14079.37970688,13806.35327092,13544.2131284481,13292.3113759691,13050.0508867579,12816.880411655,12592.2902378858,12375.8083329961,12166.9969116933,11965.4493723518,11770.7875574762,11582.6592987701,11400.7362128381,11224.7117181097,11054.2992474605,10889.2306343199,10729.254652897,"ml",3217.46321505082,-510548.19555188,-154337.4480555,-149489.779181526,-187934.627023734,-168137.808468954,-147839.118591357,-128709.628016777,-93233.9328660785,-130490.104287303,-118055.063172756,-94890.7705778085,-107380.746892784,-62526.0567569537,-49705.3443563354,-43711.3549566682,-19175.3007508593,-1479.86004742538,-76211.2848530469,-56910.9119243427,-10856.2656835664,-11201.8762593409,-41579.8950836887,-28800.5642693063,10447.4211933219,-14293.369132524,-2259.32380442371,12464.0333886167,-1988.09865677678,-18679.9132512619,3724.91049129527,-26276.8691205176,-9868.11973899274,1858.61237772059,11811.0583911089,17167.1899538603,16755.1880422866,16363.4165258403,-21959.6003469915,15634.8027916552,13255.4158868985,8431.13919864096,-40809.0290401982,-72156.0033404414,-59330.62029312,-53333.64672908,-59715.7868715519,-11157.6886240309,-34799.9491132421,-62573.119588345,-55027.7097621142,-67634.1916670039,-51133.0030883067,-55624.5506276482,-54349.2124425238,-38907.3407012299,-53159.2637871619,-60145.2882818903,-41025.7007525395,-41760.7693656801,-52330.745347103,-0.747924460976649,-0.539547100351336,-0.582465533534097,-0.674761694038969,-0.681409558131524,-0.680095310476385,-0.673414053349957,-0.621932712067764,-0.715288627349137,-0.71108940593155,-0.680366893079576,-0.720482735458832,-0.615171750855507,-0.574097301412975,-0.556124108863463,-0.366710666491858,-0.0448442438613753,-0.717012746759308,-0.664226329649192,-0.282494553306439,-0.297289709642806,-0.620132663440547,-0.539943087163597,0.789676583017529,-0.384540466304115,-0.0926332023133953,1.38952434655704,-0.087312193973508,-0.480821447908929,0.234713956603357,-0.579679442323353,-0.347346699718154,0.114729159118555,2.03990645787719,NA,NA,NA,-0.578645595441145,NA,6.49775288573458,1.28916501508272,-0.735695493783995,-0.833980621133165,-0.808208967349408,-0.794364711484659,-0.815121305917989,-0.45634718298695,-0.727271663808612,-0.829992301211633,-0.813778612276164,-0.845321730621221,-0.807788358425066,-0.822970123208288,-0.821978409596549,-0.770594983189343,-0.823408670804862,-0.842725070504277,-0.787743870056442,-0.793177005995823,-0.829856412101222,-1991047.22268646,-2382758.51643467,-2392343.21749428,-2691920.7674499,-3325591.66286144,-0.675854547971112,-0.644027081727743,-0.606650188408426,-0.609285487046621,-0.640472934069302,12
"05123333120000",1811190,1526160,1106730,973080,858630,723330,711300,624480,610620,452310,553950,414480,426210,424950,413190,395910,386220,330180,367260,341850,335460,354780,353940,352860,302850,297480,189720,306360,187980,232920,257940,232920,80730,0,0,131730,87990,97650,87960,121440,92160,77790,71910,96390,87930,82080,79980,108120,90240,111690,108600,108750,111870,100590,105360,86010,88530,84870,94380,91290,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"05123333120000",1845022.21537483,1422795.35372838,1162722.20143821,985785.225016658,857291.174234249,759562.554554698,682624.645823304,620412.93067956,569023.466632039,525826.933160606,488986.27753889,457178.363299459,429425.476116046,404989.164653295,383301.04072738,363916.330601165,346481.892367372,330713.695273026,316380.643980848,303292.752725615,291292.361171355,280247.515366531,270046.914815343,260596.00907683,251813.949453535,243631.184578685,235987.546360296,228830.713254859,222114.966704254,215800.177388833,209850.973143782,204236.051595685,198927.608930489,193900.86248939,189133.649660016,184606.089181856,180300.293801764,176200.125404404,172290.985455654,168559.634946443,164994.039094258,161583.232912547,158317.204442289,155186.792991497,152183.600175281,149299.911913019,146528.629836892,143863.210810657,141297.613459411,138826.250778378,136443.948027887,134145.905237882,131927.663742672,129785.076248437,127714.280005126,125711.672712762,123773.890841831,121897.790089643,120080.427730655,118319.046649594,"arps",36325.8050850184,33832.2153748281,-103364.646271618,55992.2014382132,12705.225016658,-1338.8257657506,36232.5545546983,-28675.3541766959,-4067.06932043971,-41596.5333679608,73516.9331606064,-64963.7224611099,42698.3632994592,3215.47611604631,-19960.8353467053,-29888.9592726196,-31993.6693988347,-39738.1076326285,533.695273026358,-50879.3560191516,-38557.2472743853,-44167.6388286452,-74532.4846334693,-83893.0851846572,-92263.9909231699,-51036.0505464651,-53848.8154213153,46267.5463602963,-77529.2867451409,34134.9667042543,-17119.8226111668,-48089.0268562181,-28683.9484043152,118197.608930489,193900.86248939,189133.649660016,52876.0891818559,92310.2938017637,78550.1254044039,84330.9854556538,47119.6349464432,72834.0390942584,83793.2329125465,86407.2044422886,58796.7929914975,64253.6001752815,67219.9119130188,66548.6298368916,35743.2108106567,51057.613459411,27136.2507783783,27843.9480278866,25395.9052378825,20057.6637426721,29195.0762484372,22354.2800051259,39701.672712762,35243.8908418305,37027.7900896431,25700.4277306547,27029.0466495941,0.0186795506682502,-0.0677285777845164,0.0505924673933238,0.0130567116955008,-0.00155925808060585,0.0500913200817031,-0.0403140084024967,-0.00651272950365057,-0.0681217997575592,0.162536607991436,-0.117273621195252,0.103016703579085,0.0075443469558347,-0.0469721975449002,-0.0723370828737858,-0.0808104604552416,-0.102889823501187,0.0016163767430685,-0.138537700863561,-0.112789958386384,-0.131662907138393,-0.210080851889817,-0.237026290288346,-0.261474780148416,-0.168519235748605,-0.181016590766826,0.243872793381279,-0.25306595751776,0.181588289734303,-0.0735008698744924,-0.186434933923463,-0.123149357737915,1.4641101069056,NA,NA,0.401397473482547,1.04909982727314,0.804404766046123,0.958742444925578,0.388007534143965,0.79029990336652,1.07717229608621,1.2016020642788,0.609988515317953,0.730735814571608,0.818956041825278,0.832065889433503,0.330588335281694,0.5657980214917,0.2429604331487,0.256389945008164,0.233525565405816,0.179294392979996,0.290238356182893,0.212170463222532,0.461593683441018,0.398101105182769,0.436288324374256,0.272307986126877,0.296078942376976,10971.3414808884,-491154.861644305,-132951.088902626,704956.572882079,1072700.13840636,0.00105837027827668,-0.0330764729134084,-0.00778871854236607,0.0388168433014563,0.0554559587829137,12
"05123333120000",329944.814051869,270810.55576439,230271.295005366,200675.853626232,178079.639393865,160238.120824993,145778.004249646,133810.880922986,123736.027412701,115132.360937002,107695.768915381,101201.010427745,95477.6256163429,90394.1836407905,85847.6811608724,81756.2254588431,78053.8715685796,74686.9071570774,71611.1319802893,68789.8340854874,66192.2627861838,63792.4615178055,61568.365208578,59501.0946605827,57574.3994545694,55774.2140825724,54088.3012951197,52505.9632710386,51017.8059998478,49615.5457605548,48291.8491609677,47040.2001264875,45854.7886768194,44730.4174301847,43662.4226180945,42646.6070449066,41679.1829327765,40756.7229891684,39876.118346675,39034.5422728225,38229.4187453522,37458.3951471837,36719.3184632869,36010.2144654872,35329.2694557853,34674.8142079817,34045.30980429,33439.3351105944,32855.5756729388,32292.813850235,31749.920025239,31225.8447585246,30719.6117692661,30230.3116427408,29757.0961780938,29299.1733014831,28855.8024795801,28426.2905768242,28009.988107039,27606.2858362121,"ml",8050.11396565477,-1481245.18594813,-1255349.44423561,-876458.704994634,-772404.146373768,-680550.360606135,-563091.879175007,-565521.995750354,-490669.119077014,-486883.972587299,-337177.639062998,-446254.231084619,-313278.989572255,-330732.374383657,-334555.81635921,-327342.318839128,-314153.774541157,-308166.12843142,-255493.092842923,-295648.868019711,-273060.165914513,-269267.737213816,-290987.538482195,-292371.634791422,-293358.905339417,-245275.600545431,-241705.785917428,-135631.69870488,-253854.036728961,-136962.194000152,-183304.454239445,-209648.150839032,-185879.799873513,-34875.2113231806,44730.4174301847,43662.4226180945,-89083.3929550934,-46310.8170672235,-56893.2770108316,-48083.881653325,-82405.4577271775,-53930.5812546478,-40331.6048528163,-35190.6815367131,-60379.7855345128,-52600.7305442147,-47405.1857920183,-45934.69019571,-74680.6648894056,-57384.4243270612,-79397.186149765,-76850.079974761,-77524.1552414754,-81150.388230734,-70359.6883572592,-75602.9038219062,-56710.8266985169,-59674.1975204199,-56443.7094231758,-66370.011892961,-63683.7141637879,-0.8178298168321,-0.822554282798403,-0.791935435918999,-0.793772502131138,-0.792600259257347,-0.778471623152651,-0.795054120273238,-0.785724313151764,-0.79736001537339,-0.745456963284026,-0.805585758795232,-0.75583620336869,-0.775984548423681,-0.787282777642569,-0.792231948592966,-0.793497952921515,-0.797903082262494,-0.773799421051919,-0.805012438108454,-0.798771876303972,-0.802682099844441,-0.820191494678941,-0.826048581091208,-0.831374781328055,-0.809891367163383,-0.812511045843175,-0.714904589420621,-0.828613515892941,-0.728599819130504,-0.786984605183948,-0.812778750248245,-0.798041387057842,-0.43199815834486,NA,NA,-0.676257442914244,-0.526319093842749,-0.582624444555367,-0.546656226163313,-0.678569315935256,-0.585184258405467,-0.518467731749792,-0.489371179762385,-0.626411303397788,-0.598211424362728,-0.577548559844278,-0.574327209248687,-0.690720171008191,-0.635908957525058,-0.710871037243844,-0.707643462014374,-0.712865795323912,-0.725399018778349,-0.69947001051058,-0.717567424277773,-0.65935154863989,-0.674056224109566,-0.665060792072296,-0.703221147414293,-0.69759792051471,-8268885.66846782,-11854024.0236264,-13481851.5087052,-14125998.8667638,-14947150.1525656,-0.797672995706052,-0.798300770595491,-0.789811860120871,-0.777816259299482,-0.772730899442372,12
"05123333520000",361080,48600,47070,24930,11550,67980,28590,20550,14580,14340,36720,3270,48480,22560,21990,11100,22260,15810,18990,15120,9780,15780,16380,18030,19050,16410,13650,15060,16530,9270,10860,9630,14970,14370,15900,14130,16710,26610,31320,26850,24300,32490,17910,22290,19500,30720,25200,23940,23130,21330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
